"","Watershed","Site.ID","Date","Observer","Expected","Start.Time","End.time","Spp","Sign.Type","Fresh","Time","Photo.Ref","Veg","Camera","GPS","Water.level.rain.report","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest"
"17","Pawcatuck",2197,2021-01-12,"John Crockett",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"beaver","lodge and feedbed",NA,1899-12-31 14:08:00,"9,10 silver","fresh water","Silver","2",NA,NA,"kayak",0,0.55,0,0,0,0.45
"18","Pawcatuck",2197,2021-01-12,"Kylie Rezendes",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"beaver","chewed branch",NA,1899-12-31 13:41:00,"1 Yellow","Shrub swamp","yellow","1",NA,NA,"kayak",0,0.7,0,0,0,0.3
"19","Pawcatuck",2197,2021-01-12,"Kylie Rezendes",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"beaver","chewed trees",NA,1899-12-31 13:30:00,"2 yellow","Shrub swamp","yellow","1",NA,NA,"kayak",0,0.7,0,0,0,0.3
"20","Pawcatuck",2197,2021-01-12,"Kylie Rezendes",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"?","Trail",NA,1899-12-31 14:02:00,"3 yellow","Shrub swamp","yellow","1",NA,NA,"kayak",0,0.7,0,0,0,0.3
"21","Pawcatuck",2197,2021-01-12,"Kylie Rezendes",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"muskrat","scat",NA,1899-12-31 14:09:00,"4 yellow","fresh water","yellow","1",NA,NA,"kayak",0,0.7,0,0,0,0.3
"22","Pawcatuck",183,2021-01-13,"Kylie Rezendes","beaver",2021-01-13 13:59:00,2021-01-13 15:00:00,"beaver","chewed branch",NA,1899-12-31 14:04:00,"1","Shrub swamp","yellow","1",NA,NA,"kayak",0,1,0,0,0,0
"23","Pawcatuck",183,2021-01-13,"Kylie Rezendes","beaver",2021-01-13 13:59:00,2021-01-13 15:00:00,"beaver","chewed shrub",NA,1899-12-31 14:09:00,"2","Shrub swamp","yellow","1",NA,NA,"kayak",0,1,0,0,0,0
"24","Pawcatuck",183,2021-01-13,"Kylie Rezendes","beaver",2021-01-13 13:59:00,2021-01-13 15:00:00,"beaver","chewed shrub",NA,1899-12-31 14:18:00,"3","Shrub swamp","yellow","1",NA,NA,"kayak",0,1,0,0,0,0
"25","Pawcatuck",183,2021-01-13,"Kylie Rezendes","beaver",2021-01-13 13:59:00,2021-01-13 15:00:00,"?","scat",NA,1899-12-31 14:21:00,"4","Shrub swamp","yellow","1",NA,NA,"kayak",0,1,0,0,0,0
"26","Pawcatuck",183,2021-01-13,"Kylie Rezendes","beaver",2021-01-13 13:59:00,2021-01-13 15:00:00,"?","scat",NA,1899-12-31 14:31:00,"5","Shrub swamp","yellow","1",NA,NA,"kayak",0,1,0,0,0,0
"27","Pawcatuck",183,2021-01-13,"Kylie Rezendes","beaver",2021-01-13 13:59:00,2021-01-13 15:00:00,"beaver","chewed shrub",NA,1899-12-31 14:35:00,"6","Shrub swamp","yellow","1",NA,NA,"kayak",0,1,0,0,0,0
"28","Pawcatuck",183,2021-01-13,"Kylie Rezendes","beaver",2021-01-13 13:59:00,2021-01-13 15:00:00,"?","scat",NA,1899-12-31 14:42:00,"7","Shrub swamp","yellow","1",NA,NA,"kayak",0,1,0,0,0,0
"29","Pawcatuck",183,2021-01-13,"John Crockett","beaver",2021-01-13 14:00:00,2021-01-13 15:00:00,"beaver","chewed shrub",NA,1899-12-31 14:03:00,"1","Shrub swamp","silver","2",NA,NA,"kayak",0.05,0.95,0,0,0,0
"30","Pawcatuck",183,2021-01-13,"John Crockett","beaver",2021-01-13 14:00:00,2021-01-13 15:00:00,"?","scat",NA,1899-12-31 14:06:00,"2,3","Shrub swamp","silver","2",NA,NA,"kayak",0.05,0.95,0,0,0,0
"31","Pawcatuck",183,2021-01-13,"John Crockett","beaver",2021-01-13 14:00:00,2021-01-13 15:00:00,"?","scat",NA,1899-12-31 14:17:00,"4","Shrub swamp","silver","2",NA,NA,"kayak",0.05,0.95,0,0,0,0
"32","Pawcatuck",183,2021-01-13,"John Crockett","beaver",2021-01-13 14:00:00,2021-01-13 15:00:00,"muskrat","scat",NA,1899-12-31 14:55:00,"5","Shrub swamp","silver","2",NA,NA,"kayak",0.05,0.95,0,0,0,0
"33","Pawcatuck",727,2021-01-19,"John Crockett","beaver",2021-01-19 12:10:00,2021-01-19 12:56:00,NA,NA,NA,NA,NA,NA,"silver","1",NA,NA,"foot",0,0,0,0,0,1
"34","Pawcatuck",727,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 12:10:00,2021-01-19 12:56:00,"bobcat","scat","N",1899-12-31 12:33:00,"1","forested swamp","yellow","2",NA,NA,"foot",0,0,0,0,0,1
"35","Pawcatuck",728,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 12:56:00,2021-01-19 13:36:00,"?","track","Y",1899-12-31 13:17:00,"2","forested swamp","yellow","2",NA,NA,"foot",0,0,0,0,0,1
"36","Pawcatuck",728,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 12:56:00,2021-01-19 13:36:00,"?","scat","Y",1899-12-31 13:32:00,"3","forested swamp","yellow","2",NA,NA,"foot",0,0,0,0,0,1
"37","Pawcatuck",728,2021-01-19,"John Crockett","beaver",2021-01-19 12:56:00,2021-01-19 13:36:00,"muskrat","chewed veg","Y",1899-12-31 13:33:00,"1,2","forested swamp","Silver","1",NA,NA,"foot",0,0,0,0,0,1
"38","Pawcatuck",748,2021-01-19,"John Crockett","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"muskrat","scat","N",1899-12-31 14:36:00,"3,4,5","pond edge","Silver","1",NA,NA,"foot",0.340909090909091,0,0,0,0,0.659090909090909
"39","Pawcatuck",748,2021-01-19,"John Crockett","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"beaver","chewed stick","N",1899-12-31 14:40:00,NA,"pond edge","Silver","1",NA,NA,"foot",0.340909090909091,0,0,0,0,0.659090909090909
"40","Pawcatuck",748,2021-01-19,"John Crockett","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"beaver","chewed stick","N",1899-12-31 14:50:00,"6","pond edge","Silver","1",NA,NA,"foot",0.340909090909091,0,0,0,0,0.659090909090909
"41","Pawcatuck",748,2021-01-19,"John Crockett","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"beaver","stump","N",1899-12-31 14:50:00,"7","pond edge","Silver","1",NA,NA,"foot",0.340909090909091,0,0,0,0,0.659090909090909
"42","Pawcatuck",748,2021-01-19,"John Crockett","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"beaver","lodge and feedbed","N",1899-12-31 14:52:00,"8","pond edge","Silver","1",NA,NA,"foot",0.340909090909091,0,0,0,0,0.659090909090909
"43","Pawcatuck",748,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"beaver","chewed shrub","N",1899-12-31 14:24:00,"4","pond edge","yellow","2",NA,NA,"foot",0.181818181818182,0,0,0,0,0.818181818181818
"44","Pawcatuck",748,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"beaver","scat","N",1899-12-31 14:31:00,"5","pond edge","yellow","2",NA,NA,"foot",0.181818181818182,0,0,0,0,0.818181818181818
"45","Pawcatuck",748,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"beaver","stump","N",1899-12-31 14:50:00,"6","pond edge","yellow","2",NA,NA,"foot",0.181818181818182,0,0,0,0,0.818181818181818
"46","Pawcatuck",748,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"fisher","scat","N",1899-12-31 14:55:00,"7","pond edge","yellow","2",NA,NA,"foot",0.181818181818182,0,0,0,0,0.818181818181818
"47","Pawcatuck",748,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"muskrat","chewed veg","N",1899-12-31 14:57:00,"8","pond edge","yellow","2",NA,NA,"foot",0.181818181818182,0,0,0,0,0.818181818181818
"48","Pawcatuck",748,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"beaver","stump","N",1899-12-31 14:58:00,"9","pond edge","yellow","2",NA,NA,"foot",0.181818181818182,0,0,0,0,0.818181818181818
"49","Pawcatuck",748,2021-01-19,"Kylie Rezendes","beaver",2021-01-19 14:18:00,2021-01-19 15:02:00,"beaver","chewed stick","N",1899-12-31 15:00:00,"10","pond edge","yellow","2",NA,NA,"foot",0.181818181818182,0,0,0,0,0.818181818181818
"50","Pawcatuck",195,2021-01-20,"John Crockett","beaver,otter",2021-01-20 10:37:00,2021-01-20 11:39:00,"otter","visual encounter","Y",1899-12-31 10:39:00,"1,3,video","fresh water","Silver","2",NA,NA,"kayak",0.32258064516129,0,0,0,0,0.67741935483871
"51","Pawcatuck",195,2021-01-20,"John Crockett","beaver,otter",2021-01-20 10:37:00,2021-01-20 11:39:00,"beaver","chewed stick","N",1899-12-31 10:46:00,"4","fresh water","Silver","2",NA,NA,"kayak",0.32258064516129,0,0,0,0,0.67741935483871
"52","Pawcatuck",195,2021-01-20,"John Crockett","beaver,otter",2021-01-20 10:37:00,2021-01-20 11:39:00,"?","bank den",NA,1899-12-31 10:54:00,"5,6","fresh water","Silver","2",NA,NA,"kayak",0.32258064516129,0,0,0,0,0.67741935483871
"53","Pawcatuck",195,2021-01-20,"John Crockett","beaver,otter",2021-01-20 10:37:00,2021-01-20 11:39:00,"beaver","chewed stick","N",1899-12-31 10:56:00,NA,"fresh water","Silver","2",NA,NA,"kayak",0.32258064516129,0,0,0,0,0.67741935483871
"54","Pawcatuck",195,2021-01-20,"John Crockett","beaver,otter",2021-01-20 10:37:00,2021-01-20 11:39:00,"beaver","chewed stick","Y",1899-12-31 11:21:00,"7","fresh water","Silver","2",NA,NA,"kayak",0.32258064516129,0,0,0,0,0.67741935483871
"55","Pawcatuck",195,2021-01-20,"John Crockett","beaver,otter",2021-01-20 10:37:00,2021-01-20 11:39:00,"beaver","chewed stick",NA,1899-12-31 11:31:00,"8","fresh water","Silver","2",NA,NA,"kayak",0.32258064516129,0,0,0,0,0.67741935483871
"56","Pawcatuck",195,2021-01-20,"Kylie Rezendes","beaver,otter",2021-01-20 10:43:00,2021-01-20 11:40:00,"beaver","chewed stick","N",1899-12-31 10:49:00,"1","fresh water","yellow","1",NA,NA,"kayak",0.368421052631579,0,0,0,0,0.631578947368421
"57","Pawcatuck",195,2021-01-20,"Kylie Rezendes","beaver,otter",2021-01-20 10:43:00,2021-01-20 11:40:00,"beaver","chewed stick","N",1899-12-31 10:54:00,"2","fresh water","yellow","2",NA,NA,"kayak",0.32258064516129,0,0,0,0,0.67741935483871
"58","Pawcatuck",195,2021-01-20,"Kylie Rezendes","beaver,otter",2021-01-20 10:43:00,2021-01-20 11:40:00,"otter","den",NA,1899-12-31 11:03:00,"3","fresh water","yellow","3",NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"59","Pawcatuck",195,2021-01-20,"Kylie Rezendes","beaver,otter",2021-01-20 10:43:00,2021-01-20 11:40:00,"beaver","chewed stick","N",1899-12-31 11:20:00,"4","fresh water","yellow","4",NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"60","Pawcatuck",195,2021-01-20,"Kylie Rezendes","beaver,otter",2021-01-20 10:43:00,2021-01-20 11:40:00,"beaver","chewed stick","N",1899-12-31 11:26:00,"5","fresh water","yellow","5",NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"61","Pawcatuck",195,2021-01-20,"Kylie Rezendes","beaver,otter",2021-01-20 10:43:00,2021-01-20 11:40:00,"?","scat","N",1899-12-31 11:37:00,"6","fresh water","yellow","6",NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"62","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"?","Track","Y",1899-12-31 12:40:00,NA,"Pond edge","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"63","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"beaver","chewed stick","N",1899-12-31 12:43:00,"7","Pond edge","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"64","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"beaver","stump","N",1899-12-31 12:49:00,"8","Pond edge","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"65","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"beaver","chewed stick","N",1899-12-31 12:59:00,"9","Pond edge","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"66","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"porcupine?","stripped pine","Y",1899-12-31 13:01:00,"10,12","Pond edge","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"67","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"beaver","lodge","N",1899-12-31 13:05:00,"11","Pond edge","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"68","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"muskrat?","track","Y",1899-12-31 13:21:00,"13","Pond edge","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"69","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"beaver","chewed stick","Y",1899-12-31 13:28:00,"14","Stream","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"70","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"beaver","feed bed","Y",1899-12-31 13:48:00,"15","Stream","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"71","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"beaver","stripped veg","Y",1899-12-31 14:01:00,"16","Stream","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"72","Quinebaug",6221,2021-01-22,"John Crockett","Beaver",2021-01-22 12:27:00,2021-01-22 14:16:00,"beaver","chewed veg and stripped pine","Y",1899-12-31 14:10:00,"17,18","Stream","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"73","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","chewed root","N",1899-12-31 12:39:00,"8,9,10","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"74","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","dam","N",1899-12-31 12:40:00,NA,"Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"75","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","cut tree","N",1899-12-31 12:48:00,NA,"Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"76","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","chewed sticks","N",1899-12-31 12:49:00,NA,"Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"77","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","dam","N",1899-12-31 12:56:00,"1","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"78","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","cut tree","N",1899-12-31 12:59:00,NA,"Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"79","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"porcupine?","chewed pine","Y",1899-12-31 13:02:00,"2,3","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"80","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","lodge","N",1899-12-31 13:05:00,"4,5,6","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"81","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"porcupine?","chewed pine","Y",1899-12-31 13:13:00,NA,"Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"82","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"muskrat","stripped veg","Y",1899-12-31 13:29:00,"7","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"83","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"?","dirt/scat","N",1899-12-31 13:53:00,"11,12","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"84","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"?","run","N",1899-12-31 14:03:00,"13","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"85","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","girdled tree","N",1899-12-31 14:05:00,"14,15","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"86","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"otter","slide","N",1899-12-31 14:07:00,NA,"Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"87","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","stripped stick","Y",1899-12-31 14:12:00,"16","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"88","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"beaver","chewed stick","Y",1899-12-31 14:12:00,"17","Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"89","Quinebaug",6221,2021-01-22,"Emerson Paton","Beaver",2021-01-22 12:39:00,2021-01-22 14:20:00,"otter","run","N",1899-12-31 14:14:00,NA,"Stream","yellow",NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"90","Quinebaug",6824,2021-01-22,"John Crockett","Beaver",2021-01-22 10:54:00,2021-01-22 11:14:00,"beaver","chewed stick","N",1899-12-31 10:56:00,"1","Pond edge","Silver","2",NA,NA,"foot",0.1,0,0,0,0,0.9
"91","Quinebaug",6824,2021-01-22,"John Crockett","Beaver",2021-01-22 10:54:00,2021-01-22 11:14:00,"beaver","chewed stick","Y",1899-12-31 11:06:00,"2","Pond edge","Silver","2",NA,NA,"foot",0.1,0,0,0,0,0.9
"92","Quinebaug",6824,2021-01-22,"Emerson Paton",NA,2021-01-22 10:52:00,2021-01-22 11:20:00,"beaver","chewed stick",NA,1899-12-31 10:59:00,"1,2,3","Pond edge","yellow",NA,NA,NA,"foot",NA,NA,NA,NA,NA,NA
"93","Quinebaug",6824,2021-01-22,"Emerson Paton",NA,2021-01-22 10:52:00,2021-01-22 11:20:00,"beaver","chewed stick",NA,1899-12-31 11:03:00,"4,5,6","Pond edge","yellow",NA,NA,NA,"foot",NA,NA,NA,NA,NA,NA
"94","Quinebaug",6824,2021-01-22,"Emerson Paton",NA,2021-01-22 10:52:00,2021-01-22 11:20:00,"beaver","chewed stick",NA,1899-12-31 11:05:00,"7,8,9,10","Pond edge","yellow",NA,NA,NA,"foot",NA,NA,NA,NA,NA,NA
"95","Quinebaug",6824,2021-01-22,"Emerson Paton",NA,2021-01-22 10:52:00,2021-01-22 11:20:00,"beaver","chewed stick",NA,1899-12-31 11:09:00,NA,"Pond edge","yellow",NA,NA,NA,"foot",NA,NA,NA,NA,NA,NA
"96","Pawcatuck",1079,2021-01-26,"Amy Mayer",NA,2021-01-26 14:13:00,2021-01-26 15:00:00,"?","stripped veg","Y",1899-12-31 14:41:00,"2","forested swamp",NA,NA,NA,NA,"foot",NA,NA,NA,NA,NA,NA
"97","Pawcatuck",1079,2021-01-26,"Amy Mayer",NA,2021-01-26 14:13:00,2021-01-26 15:00:00,"beaver","girdled tree","N",1899-12-31 14:57:00,"3","forested swamp",NA,NA,NA,NA,"foot",NA,NA,NA,NA,NA,NA
"98","Pawcatuck",1079,2021-01-26,"Amy Mayer",NA,2021-01-26 14:13:00,2021-01-26 15:00:00,"beaver","chewed trees","N",1899-12-31 14:59:00,"4","forested swamp",NA,NA,NA,NA,"foot",NA,NA,NA,NA,NA,NA
"99","Pawcatuck",1079,2021-01-26,"John Crockett","beaver",2021-01-26 14:12:00,2021-01-26 15:00:00,"beaver","girdled tree","N",1899-12-31 14:25:00,"5","forested swamp","Silver","2",NA,NA,"foot",0.0208333333333333,0,0,0,0,0.979166666666667
"100","Pawcatuck",1079,2021-01-26,"John Crockett","beaver",2021-01-26 14:12:00,2021-01-26 15:00:00,"beaver","chewed stick","N",1899-12-31 14:35:00,"6","forested swamp","Silver","2",NA,NA,"foot",0.0208333333333333,0,0,0,0,0.979166666666667
"101","Pawcatuck",1079,2021-01-26,"John Crockett","beaver",2021-01-26 14:12:00,2021-01-26 15:00:00,"beaver","chewed stick","N",1899-12-31 14:46:00,"7","forested swamp","Silver","2",NA,NA,"foot",0.0208333333333333,0,0,0,0,0.979166666666667
"102","Pawcatuck",1113,2021-01-26,"John Crockett",NA,2021-01-26 12:23:00,2021-01-26 13:16:00,"beaver","chewed stick","N",1899-12-31 12:31:00,"1","forested swamp","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"103","Pawcatuck",1113,2021-01-26,"John Crockett",NA,2021-01-26 12:23:00,2021-01-26 13:16:00,"?","Hair","Y",1899-12-31 12:38:00,"2,3","stream","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"104","Pawcatuck",1113,2021-01-26,"John Crockett",NA,2021-01-26 12:23:00,2021-01-26 13:16:00,"beaver","chewed stick","N",1899-12-31 12:52:00,"4","forested swamp","Silver","2",NA,NA,"kayak",0,0,0,0,0,1
"105","Pawcatuck",1113,2021-01-26,"Amy Mayer",NA,2021-01-26 12:25:00,2021-01-26 13:15:00,"?","scat","N",1899-12-31 12:48:00,"1","Shrub swamp","yellow","1",NA,NA,"kayak",0,0,0,0,0,1
"106","Pawcatuck",897,2021-01-27,"John Crockett","beaver",2021-01-27 12:26:00,2021-01-27 13:13:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"107","Pawcatuck",897,2021-01-27,"Amy Mayer",NA,2021-01-27 12:26:00,2021-01-27 13:13:00,"beaver","chewed trees","N",1899-12-31 12:29:00,"10","stream","yellow","1",NA,NA,"kayak",0.638297872340426,0,0,0,0,0.361702127659574
