"","Watershed","Site.ID","Date","Observer","Start.Time","End.time","Spp","Sign.Type","Fresh","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest","Temp","cloudcover","Precip","Day","TTD","YMax","BStrm","BFresh","BSwamp","BImp","BSalt","BForest"
"33","Pawtuxet",9,"2022-02-24","Justin Moore",2022-02-24 12:29:00,2022-02-24 13:10:00,"Other","scat","N","N","Kayak",0,0,0,0,0,1,-1,89,0,54,32,41,5,3.84513861780781,0,0,0,19.3258579632473
"34","Pawtuxet",9,"2022-02-24","Justin Moore",2022-02-24 12:29:00,2022-02-24 13:10:00,"Otter","Latrine","N","N","Kayak",0,0,0,0,0,1,-1,89,0,54,34,41,5,3.84513861780781,0,0,0,19.3258579632473
"35","Pawtuxet",9,"2022-02-24","John Crockett",2022-02-24 12:28:00,2022-02-24 13:12:00,"Beaver","chewed stick","N","N","Kayak",0,0,0,0,0,1,-1,89,0,54,1,44,5,3.84513861780781,0,0,0,19.3258579632473
"36","Pawtuxet",9,"2022-02-24","John Crockett",2022-02-24 12:28:00,2022-02-24 13:12:00,"Muskrat","scat","Y","N","Kayak",0,0,0,0,0,1,-1,89,0,54,4,44,5,3.84513861780781,0,0,0,19.3258579632473
"38","Pawtuxet",9,"2022-02-24","John Crockett",2022-02-24 12:28:00,2022-02-24 13:12:00,"Otter","Latrine","Y","N","Kayak",0,0,0,0,0,1,-1,89,0,54,12,44,5,3.84513861780781,0,0,0,19.3258579632473
"43","Pawtuxet",9,"2022-06-29","Jess Burr",2022-06-29 12:43:00,2022-06-29 13:00:00,"Beaver","chewed stick","N","N","kayak",0,0,0,0,0,1,25.5,47,0,179,4,17,5,3.84513861780781,0,0,0,19.3258579632473
"45","Pawtuxet",9,"2022-06-29","Jess Burr",2022-06-29 12:43:00,2022-06-29 13:00:00,"Muskrat","scat","N","N","kayak",0,0,0,0,0,1,25.5,47,0,179,11,17,5,3.84513861780781,0,0,0,19.3258579632473
"46","Pawtuxet",9,"2022-06-29","John Crockett",2022-06-29 12:43:00,2022-06-29 13:01:00,"Beaver","chewed stick","N","N","kayak",0,0,0,0,0,1,25.5,47,0,179,3,18,5,3.84513861780781,0,0,0,19.3258579632473
"47","Pawtuxet",9,"2022-06-29","John Crockett",2022-06-29 12:43:00,2022-06-29 13:01:00,"Muskrat","scat","N","N","kayak",0,0,0,0,0,1,25.5,47,0,179,7,18,5,3.84513861780781,0,0,0,19.3258579632473
"49","Pawtuxet",10,"2022-02-24","Justin Moore",2022-02-24 11:11:00,2022-02-24 12:09:00,"Beaver","chewed stick","N","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-1.4,85,0,54,2,58,5,9.97967329271475,0,0,0,23.7091370029868
"50","Pawtuxet",10,"2022-02-24","Justin Moore",2022-02-24 11:11:00,2022-02-24 12:09:00,"Beaver","chewed tree","Y","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-1.4,85,0,54,13,58,5,9.97967329271475,0,0,0,23.7091370029868
"51","Pawtuxet",10,"2022-02-24","Justin Moore",2022-02-24 11:11:00,2022-02-24 12:09:00,"Beaver","dam","Y","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-1.4,85,0,54,18,58,5,9.97967329271475,0,0,0,23.7091370029868
"55","Pawtuxet",10,"2022-02-24","Justin Moore",2022-02-24 11:11:00,2022-02-24 12:09:00,"Beaver","Lodge","Y","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-1.4,85,0,54,57,58,5,9.97967329271475,0,0,0,23.7091370029868
"56","Pawtuxet",10,"2022-02-24","John Crockett",2022-02-24 11:11:00,2022-02-24 12:06:00,"Beaver","chewed stick","Y","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-1.4,85,0,54,1,55,5,9.97967329271475,0,0,0,23.7091370029868
"58","Pawtuxet",10,"2022-02-24","John Crockett",2022-02-24 11:11:00,2022-02-24 12:06:00,"Beaver","dam","Y","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-1.4,85,0,54,15,55,5,9.97967329271475,0,0,0,23.7091370029868
"60","Pawtuxet",10,"2022-02-24","John Crockett",2022-02-24 11:11:00,2022-02-24 12:06:00,"Beaver","Lodge","Y","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-1.4,85,0,54,24,55,5,9.97967329271475,0,0,0,23.7091370029868
"63","Pawtuxet",10,"2022-06-29","Jess Burr",2022-06-29 11:50:00,2022-06-29 12:23:00,"Beaver","chewed stick","N","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,24.9,42,0,179,2,33,5,9.97967329271475,0,0,0,23.7091370029868
"65","Pawtuxet",10,"2022-06-29","Jess Burr",2022-06-29 11:50:00,2022-06-29 12:23:00,"Muskrat","scat","N","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,24.9,42,0,179,12,33,5,9.97967329271475,0,0,0,23.7091370029868
"70","Pawtuxet",10,"2022-06-29","Jess Burr",2022-06-29 11:50:00,2022-06-29 12:23:00,"Beaver","dam","N","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,24.9,42,0,179,27,33,5,9.97967329271475,0,0,0,23.7091370029868
"71","Pawtuxet",10,"2022-06-29","John Crockett",2022-06-29 11:52:00,2022-06-29 12:16:00,"Muskrat","scat","Y","N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,24.9,42,0,179,1,24,5,9.97967329271475,0,0,0,23.7091370029868
"72","Pawtuxet",10,"2022-06-29","John Crockett",2022-06-29 11:52:00,2022-06-29 12:16:00,"Beaver","chewed stick","N","N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,24.9,42,0,179,2,24,5,9.97967329271475,0,0,0,23.7091370029868
"74","Pawtuxet",10,"2022-06-29","John Crockett",2022-06-29 11:52:00,2022-06-29 12:16:00,"Beaver","dam","Y","N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,24.9,42,0,179,14,24,5,9.97967329271475,0,0,0,23.7091370029868
"75","Pawtuxet",10,"2022-06-29","John Crockett",2022-06-29 11:52:00,2022-06-29 12:16:00,"Beaver","Lodge","N","N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,24.9,42,0,179,20,24,5,9.97967329271475,0,0,0,23.7091370029868
"76","Pawtuxet",15,"2022-02-01","Justin Moore",2022-02-01 11:45:00,2022-02-01 12:07:00,NA,NA,NA,"Y","Foot",0.0909090909090909,0,0.0454545454545455,0,0,0.863636363636364,-5.8,77,0,31,NA,22,NA,0.580388154254042,0,17.1260083970408,0,0
"77","Pawtuxet",15,"2022-02-01","John Crockett",2022-02-01 11:46:00,2022-02-01 12:06:00,"Beaver","chewed stick","N","Y","Foot",0,0,0,0,0,1,-5.8,77,0,31,1,20,NA,0.580388154254042,0,17.1260083970408,0,0
"78","Pawtuxet",15,"2022-07-11","John Crockett",2022-07-11 11:02:00,2022-07-11 11:09:00,NA,NA,NA,"N","kayak",0.857142857142857,0,0,0,0,0.142857142857143,24.2,1,0,191,NA,7,NA,0.580388154254042,0,17.1260083970408,0,0
"79","Pawtuxet",15,"2022-07-11","Jess Burr",2022-07-11 11:02:00,2022-07-11 11:06:00,"Beaver","chewed stick","N","N","kayak",0.75,0,0,0,0,0.25,24.2,1,0,191,3,4,NA,0.580388154254042,0,17.1260083970408,0,0
"80","Pawtuxet",17,"2022-01-10","Justin Moore",2022-01-10 10:02:00,2022-01-10 11:09:00,"Beaver","chewed stick","Y","Y","Foot",0.283582089552239,0,0,0,0,0.716417910447761,-2.5,1,0.6,9,7,67,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"81","Pawtuxet",17,"2022-01-10","Justin Moore",2022-01-10 10:02:00,2022-01-10 11:09:00,"Other","scat","Y","Y","Foot",0.283582089552239,0,0,0,0,0.716417910447761,-2.5,1,0.6,9,31,67,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"84","Pawtuxet",17,"2022-01-10","John Crockett",2022-01-10 09:57:00,2022-01-10 11:09:00,"Other","scat","N","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-2.5,1,0.6,9,12,72,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"85","Pawtuxet",17,"2022-01-10","John Crockett",2022-01-10 09:57:00,2022-01-10 11:09:00,"Beaver","chewed stick","N","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-2.5,1,0.6,9,14,72,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"88","Pawtuxet",17,"2022-01-10","John Crockett",2022-01-10 09:57:00,2022-01-10 11:09:00,"Beaver","chewed tree","Y","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-2.5,1,0.6,9,34,72,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"89","Pawtuxet",17,"2022-01-10","John Crockett",2022-01-10 09:57:00,2022-01-10 11:09:00,"Otter","Latrine","N","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-2.5,1,0.6,9,42,72,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"92","Pawtuxet",17,"2022-06-24","Jess Burr",2022-06-24 09:53:00,2022-06-24 10:48:00,"Muskrat","scat","N","N","walking",0.381818181818182,0,0,0,0,0.618181818181818,19.8,30,0.3,174,23,55,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"95","Pawtuxet",17,"2022-06-24","Jess Burr",2022-06-24 09:53:00,2022-06-24 10:48:00,"Beaver","chewed stick","N","N","walking",0.381818181818182,0,0,0,0,0.618181818181818,19.8,30,0.3,174,31,55,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"97","Pawtuxet",17,"2022-06-24","Jess Burr",2022-06-24 09:53:00,2022-06-24 10:48:00,"Otter",NA,"N","N","walking",0.381818181818182,0,0,0,0,0.618181818181818,19.8,30,0.3,174,34,55,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"98","Pawtuxet",17,"2022-06-24","Jess Burr",2022-06-24 09:53:00,2022-06-24 10:48:00,"Muskrat",NA,"N","N","walking",0.381818181818182,0,0,0,0,0.618181818181818,19.8,30,0.3,174,41,55,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"107","Pawtuxet",17,"2022-06-24","John Crockett",2022-06-24 09:56:00,2022-06-24 10:47:00,"Other","scat","N","N","walking",0.647058823529412,0,0,0,0,0.352941176470588,19.8,30,0.3,174,8,51,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"108","Pawtuxet",17,"2022-06-24","John Crockett",2022-06-24 09:56:00,2022-06-24 10:47:00,"Muskrat","scat","N","N","walking",0.647058823529412,0,0,0,0,0.352941176470588,19.8,30,0.3,174,35,51,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038
"110","Pawtuxet",18,"2022-01-19","Justin Moore",2022-01-19 11:47:00,2022-01-19 12:21:00,"Other","track","Y","N","Foot",0,0,0,0,0,1,4,16,0,18,6,34,NA,0,0,0,0,10.8796724688606
"111","Pawtuxet",18,"2022-01-19","John Crockett",2022-01-19 11:44:00,2022-01-19 12:15:00,NA,NA,NA,"N","Foot",0,0,0,0,0,1,4,16,0,18,NA,31,NA,0,0,0,0,10.8796724688606
"112","Pawtuxet",19,"2022-01-19","Justin Moore",2022-01-19 10:34:00,2022-01-19 11:03:00,NA,NA,NA,"N","Foot",0,0,0,0,0,1,1.6,70,0,18,NA,29,NA,0,0,1.40221136055241,0,22.836614471951
"113","Pawtuxet",19,"2022-01-19","John Crockett",2022-01-19 10:33:00,2022-01-19 10:59:00,NA,NA,NA,"N","Foot",0,0,0,0,0,1,1.6,70,0,18,NA,26,NA,0,0,1.40221136055241,0,22.836614471951
"114","Pawtuxet",20,"2022-01-10","Justin Moore",2022-01-10 11:30:00,2022-01-10 11:47:00,"Beaver","chewed stick","N","Y","Foot",0.117647058823529,0,0,0,0,0.882352941176471,-2.3,100,0.6,9,2,17,NA,55.9804636863356,0,0,0,0
"115","Pawtuxet",20,"2022-01-10","Justin Moore",2022-01-10 11:30:00,2022-01-10 11:47:00,"Otter","Latrine","Y","Y","Foot",0.117647058823529,0,0,0,0,0.882352941176471,-2.3,100,0.6,9,6,17,NA,55.9804636863356,0,0,0,0
"116","Pawtuxet",20,"2022-01-10","John Crockett",2022-01-10 11:31:00,2022-01-10 11:46:00,"Beaver","chewed stick","N","Y","Foot",0.2,0,0,0,0,0.8,-2.3,100,0.6,9,2,15,NA,55.9804636863356,0,0,0,0
"118","Pawtuxet",20,"2022-06-24","Jess Burr",2022-06-24 11:05:00,2022-06-24 11:20:00,"Beaver","chewed stick","N","N","walking",0.2,0,0,0,0,0.8,21.5,21,0.3,174,6,15,NA,55.9804636863356,0,0,0,0
"121","Pawtuxet",20,"2022-06-24","John Crockett",2022-06-24 11:05:00,2022-06-24 11:20:00,"Beaver","chewed stick","N","N","walking",0.133333333333333,0,0,0,0,0.866666666666667,21.5,21,0.3,174,1,15,NA,55.9804636863356,0,0,0,0
"122","Pawtuxet",20,"2022-06-24","John Crockett",2022-06-24 11:05:00,2022-06-24 11:20:00,"Otter","Latrine","N","N","walking",0.133333333333333,0,0,0,0,0.866666666666667,21.5,21,0.3,174,13,15,NA,55.9804636863356,0,0,0,0
"123","Pawtuxet",22,"2022-03-07","Justin Moore",2022-03-07 11:38:00,2022-03-07 11:59:00,NA,NA,NA,"N","Kayak",0.952380952380952,0,0.0476190476190476,0,0,0,9.6,82,3.8,65,NA,21,NA,12.4750407141933,0,11.0205438471252,0,0
"124","Pawtuxet",22,"2022-03-07","John Crockett",2022-03-07 11:46:00,2022-03-07 12:00:00,NA,NA,NA,"N","Kayak",1,0,0,0,0,0,9.6,82,3.8,65,NA,14,NA,12.4750407141933,0,11.0205438471252,0,0
"125","Pawtuxet",22,"2022-07-11","John Crockett",2022-07-11 11:53:00,2022-07-11 12:07:00,"Other","scat","Y","N","kayak",0.928571428571429,0,0.0714285714285714,0,0,0,25.7,4,0,191,7,14,NA,12.4750407141933,0,11.0205438471252,0,0
"126","Pawtuxet",22,"2022-07-11","Jess Burr",2022-07-11 11:53:00,2022-07-11 12:07:00,NA,NA,NA,"N","kayak",1,0,0,0,0,0,25.7,4,0,191,NA,14,NA,12.4750407141933,0,11.0205438471252,0,0
"127","Pawtuxet",28,"2022-04-14","Justin Moore",2022-04-14 13:28:00,2022-04-14 13:48:00,"Beaver","chewed stick","N","N","Foot",0.4,0,0,0,0,0.6,21.3,38,0.7,103,18,20,1,24.0663175558634,0,0,0,3.53479943678329
"128","Pawtuxet",28,"2022-04-14","John Crockett",2022-04-14 13:25:00,2022-04-14 13:49:00,"Otter","Latrine","N","N","Foot",0.208333333333333,0,0,0,0,0.791666666666667,21.3,38,0.7,103,6,24,1,24.0663175558634,0,0,0,3.53479943678329
"129","Pawtuxet",28,"2022-08-08","John Crockett",2022-08-08 13:00:00,2022-08-08 13:18:00,"Beaver","chewed stick","N","N","Kayak",0.944444444444444,0,0,0,0,0.0555555555555556,32.4,26,1.3,219,2,18,1,24.0663175558634,0,0,0,3.53479943678329
"130","Pawtuxet",28,"2022-08-08","Jess Burr",2022-08-08 13:05:00,2022-08-08 13:20:00,"Other","scat","N","N","kayak",1,0,0,0,0,0,32.4,26,1.3,219,5,15,1,24.0663175558634,0,0,0,3.53479943678329
"131","Pawtuxet",28,"2022-08-08","Jess Burr",2022-08-08 13:05:00,2022-08-08 13:20:00,"Other","tracks","Y","N","kayak",1,0,0,0,0,0,32.4,26,1.3,219,9,15,1,24.0663175558634,0,0,0,3.53479943678329
"132","Pawtuxet",29,"2022-04-14","Justin Moore",2022-04-14 13:49:00,2022-04-14 14:11:00,"Muskrat","scat","N","N","Foot",0.318181818181818,0,0,0,0,0.681818181818182,23.2,29,0.7,103,1,22,1,15.8844003062988,0,0,0,0.699838393425863
"133","Pawtuxet",29,"2022-04-14","Justin Moore",2022-04-14 13:49:00,2022-04-14 14:11:00,"Otter","Latrine","N","N","Foot",0.318181818181818,0,0,0,0,0.681818181818182,23.2,29,0.7,103,3,22,1,15.8844003062988,0,0,0,0.699838393425863
"136","Pawtuxet",29,"2022-04-14","John Crockett",2022-04-14 13:50:00,2022-04-14 14:10:00,"Other","scat","N","N","Foot",0.3,0,0,0,0,0.7,23.2,29,0.7,103,10,20,1,15.8844003062988,0,0,0,0.699838393425863
"137","Pawtuxet",29,"2022-04-14","John Crockett",2022-04-14 13:50:00,2022-04-14 14:10:00,"Beaver","chewed stick","N","N","Foot",0.3,0,0,0,0,0.7,23.2,29,0.7,103,11,20,1,15.8844003062988,0,0,0,0.699838393425863
"138","Pawtuxet",29,"2022-04-14","John Crockett",2022-04-14 13:50:00,2022-04-14 14:10:00,"Otter","Latrine","N","N","Foot",0.3,0,0,0,0,0.7,23.2,29,0.7,103,17,20,1,15.8844003062988,0,0,0,0.699838393425863
"139","Pawtuxet",29,"2022-08-08","John Crockett",2022-08-08 13:19:00,2022-08-08 13:37:00,NA,NA,NA,"N","Kayak",0.944444444444444,0,0,0,0,0.0555555555555556,32.4,26,1.3,219,NA,18,1,15.8844003062988,0,0,0,0.699838393425863
"140","Pawtuxet",29,"2022-08-08","Jess Burr",2022-08-08 13:19:00,2022-08-08 13:40:00,NA,NA,NA,"N","kayak",1,0,0,0,0,0,32.4,26,1.3,219,NA,21,1,15.8844003062988,0,0,0,0.699838393425863
"141","Pawtuxet",33,"2022-04-21","Justin Moore",2022-04-21 09:59:00,2022-04-21 10:35:00,"Beaver","chewed stick","N","N","Kayak",0.472222222222222,0,0,0,0,0.527777777777778,9.9,26,0.5,110,3,36,NA,83.6288330958617,0,0,0,0
"142","Pawtuxet",33,"2022-04-21","Justin Moore",2022-04-21 09:59:00,2022-04-21 10:35:00,"Otter","Latrine","Y","N","Kayak",0.472222222222222,0,0,0,0,0.527777777777778,9.9,26,0.5,110,5,36,NA,83.6288330958617,0,0,0,0
"145","Pawtuxet",33,"2022-04-21","John Crockett",2022-04-21 09:59:00,2022-04-21 10:35:00,"Beaver","chewed stick","N","N","Kayak",0.416666666666667,0,0,0,0,0.583333333333333,9.9,26,0.5,110,1,36,NA,83.6288330958617,0,0,0,0
"147","Pawtuxet",33,"2022-04-21","John Crockett",2022-04-21 09:59:00,2022-04-21 10:35:00,"Beaver","castor mound","Y","N","Kayak",0.416666666666667,0,0,0,0,0.583333333333333,9.9,26,0.5,110,7,36,NA,83.6288330958617,0,0,0,0
"149","Pawtuxet",33,"2022-04-21","John Crockett",2022-04-21 09:59:00,2022-04-21 10:35:00,"Otter","Latrine","N","N","Kayak",0.416666666666667,0,0,0,0,0.583333333333333,9.9,26,0.5,110,24,36,NA,83.6288330958617,0,0,0,0
"151","Pawtuxet",33,"2022-08-10","John Crockett",2022-08-10 10:44:00,2022-08-10 11:10:00,"Beaver","chewed stick","N","N","Kayak",0.538461538461538,0,0,0,0,0.461538461538462,21.4,100,1.1,221,9,26,NA,83.6288330958617,0,0,0,0
"152","Pawtuxet",33,"2022-08-10","Jess Burr",2022-08-10 10:44:00,2022-08-10 11:07:00,"Beaver","chewed stick","N","N","kayak",0.565217391304348,0,0,0,0,0.434782608695652,21.4,100,1.1,221,5,23,NA,83.6288330958617,0,0,0,0
"153","Pawtuxet",33,"2022-08-10","Jess Burr",2022-08-10 10:44:00,2022-08-10 11:07:00,"Muskrat","scat","N","N","kayak",0.565217391304348,0,0,0,0,0.434782608695652,21.4,100,1.1,221,10,23,NA,83.6288330958617,0,0,0,0
"155","Pawtuxet",34,"2022-04-21","Justin Moore",2022-04-21 10:36:00,2022-04-21 11:04:00,"Beaver","chewed stick","N","N","Kayak",0.928571428571429,0,0,0,0,0.0714285714285714,11.9,24,0.5,110,3,28,NA,37.2336983529741,0,0,0,0
"157","Pawtuxet",34,"2022-04-21","John Crockett",2022-04-21 10:43:00,2022-04-21 11:04:00,"Muskrat","scat","N","N","Kayak",1,0,0,0,0,0,11.9,24,0.5,110,1,21,NA,37.2336983529741,0,0,0,0
"158","Pawtuxet",34,"2022-04-21","John Crockett",2022-04-21 10:43:00,2022-04-21 11:04:00,"Beaver","chewed stick","N","N","Kayak",1,0,0,0,0,0,11.9,24,0.5,110,2,21,NA,37.2336983529741,0,0,0,0
"161","Pawtuxet",34,"2022-08-10","John Crockett",2022-08-10 11:15:00,2022-08-10 11:34:00,"Beaver","chewed stick","N","N","Kayak",1,0,0,0,0,0,21.4,100,1.1,221,8,19,NA,37.2336983529741,0,0,0,0
"163","Pawtuxet",34,"2022-08-10","Jess Burr",2022-08-10 11:12:00,2022-08-10 11:33:00,"Beaver","chewed stick","N","N","kayak",1,0,0,0,0,0,21.4,100,1.1,221,3,21,NA,37.2336983529741,0,0,0,0
"165","Pawtuxet",70,"2022-04-20","John Crockett",2022-04-20 10:16:00,2022-04-20 11:07:00,"Beaver","chewed stick","N","N","Kayak",0.725490196078431,0,0,0,0,0.274509803921569,6.4,16,0,109,3,51,4,70.8578328146069,0,6.84951505368313,0,0
"167","Pawtuxet",70,"2022-04-20","John Crockett",2022-04-20 10:16:00,2022-04-20 11:07:00,"Muskrat","scat","Y","N","Kayak",0.725490196078431,0,0,0,0,0.274509803921569,6.4,16,0,109,21,51,4,70.8578328146069,0,6.84951505368313,0,0
"169","Pawtuxet",70,"2022-04-20","John Crockett",2022-04-20 10:16:00,2022-04-20 11:07:00,"Beaver","Lodge","N","N","Kayak",0.725490196078431,0,0,0,0,0.274509803921569,6.4,16,0,109,26,51,4,70.8578328146069,0,6.84951505368313,0,0
"171","Pawtuxet",70,"2022-04-20","John Crockett",2022-04-20 10:16:00,2022-04-20 11:07:00,"Beaver","castor mound","Y","N","Kayak",0.725490196078431,0,0,0,0,0.274509803921569,6.4,16,0,109,45,51,4,70.8578328146069,0,6.84951505368313,0,0
"174","Pawtuxet",70,"2022-04-20","Justin Moore",2022-04-20 10:17:00,2022-04-20 11:06:00,"Muskrat","scat","Y","N","Kayak",0.86,0,0,0,0,0.14,6.4,16,0,109,4,49,4,70.8578328146069,0,6.84951505368313,0,0
"175","Pawtuxet",70,"2022-04-20","Justin Moore",2022-04-20 10:17:00,2022-04-20 11:06:00,"Beaver","chewed stick","N","N","Kayak",0.86,0,0,0,0,0.14,6.4,16,0,109,6,49,4,70.8578328146069,0,6.84951505368313,0,0
"177","Pawtuxet",70,"2022-04-20","Justin Moore",2022-04-20 10:17:00,2022-04-20 11:06:00,"Beaver","Lodge","Y","N","Kayak",0.86,0,0,0,0,0.14,6.4,16,0,109,11,49,4,70.8578328146069,0,6.84951505368313,0,0
"179","Pawtuxet",70,"2022-04-20","Justin Moore",2022-04-20 10:17:00,2022-04-20 11:06:00,"Muskrat","corpse","Y","N","Kayak",0.86,0,0,0,0,0.14,6.4,16,0,109,24,49,4,70.8578328146069,0,6.84951505368313,0,0
"181","Pawtuxet",70,"2022-08-09","John Crockett",2022-08-09 10:08:00,2022-08-09 10:46:00,"Beaver","chewed stick","Y","N","Kayak",0.763157894736842,0,0,0,0,0.236842105263158,28.9,20,6.3,220,9,38,4,70.8578328146069,0,6.84951505368313,0,0
"182","Pawtuxet",70,"2022-08-09","John Crockett",2022-08-09 10:08:00,2022-08-09 10:46:00,"Beaver","Lodge","Y","N","Kayak",0.763157894736842,0,0,0,0,0.236842105263158,28.9,20,6.3,220,12,38,4,70.8578328146069,0,6.84951505368313,0,0
"184","Pawtuxet",70,"2022-08-09","John Crockett",2022-08-09 10:08:00,2022-08-09 10:46:00,"Muskrat","scat","N","N","Kayak",0.763157894736842,0,0,0,0,0.236842105263158,28.9,20,6.3,220,34,38,4,70.8578328146069,0,6.84951505368313,0,0
"185","Pawtuxet",70,"2022-08-09","Jess Burr",2022-08-09 10:07:00,2022-08-09 10:50:00,"Beaver","chewed stick","N","N","kayak",0.883720930232558,0,0,0,0,0.116279069767442,28.9,20,6.3,220,2,43,4,70.8578328146069,0,6.84951505368313,0,0
"186","Pawtuxet",70,"2022-08-09","Jess Burr",2022-08-09 10:07:00,2022-08-09 10:50:00,"Other","scat","N","N","kayak",0.883720930232558,0,0,0,0,0.116279069767442,28.9,20,6.3,220,10,43,4,70.8578328146069,0,6.84951505368313,0,0
"190","Pawtuxet",73,"2022-02-10","Justin Moore",2022-02-10 12:49:00,2022-02-10 13:03:00,NA,NA,NA,"N","Foot",0,0,0,0,0,1,8.9,43,0,40,NA,14,1,0,0,0.90847893894769,0,18.3006106901071
"191","Pawtuxet",73,"2022-02-10","John Crockett",2022-02-10 12:49:00,2022-02-10 13:03:00,NA,NA,NA,"N","Foot",0,0,0,0,0,1,8.6,35,0,40,NA,14,1,0,0,0.90847893894769,0,18.3006106901071
"192","Pawtuxet",75,"2022-04-20","John Crockett",2022-04-20 12:37:00,2022-04-20 12:50:00,NA,NA,NA,"N","Kayak",0.461538461538462,0,0,0,0,0.538461538461538,10.1,64,0,109,NA,13,NA,6.26925244555347,0,1.61900951842921,0,0
