"","X","Watershed","Site.ID","Date","Observer","Expected","Start.Time","End.time","Spp","Sign.Type","Fresh","Time","Veg","Camera","GPS","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest","lon","lat","Temp","cloudcover","Precip"
"13",13,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 10:59:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"14",14,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 11:00:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"15",15,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 11:08:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"16",16,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 11:09:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"17",17,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","small pile of chewed sticks","N","1899-12-31 11:12:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"18",18,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 11:14:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"19",19,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 11:15:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"20",20,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 11:16:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"21",21,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 11:17:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"22",22,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 11:18:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"23",23,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","muskrat","scat","N","1899-12-31 11:19:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"24",24,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","N","1899-12-31 11:22:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"25",25,"Pawtuxet",6,"2022-06-29","John Crockett","beaver","2022-06-29 10:42:00","2022-06-29 11:19:00","muskrat","scat","Y","1899-12-31 10:44:00","stream edge/emergent marsh","1","2","N","kayak",0,1,0,0,0,0,-71.6073636431,41.64443071,23.6,32,0
"26",26,"Pawtuxet",6,"2022-06-29","John Crockett","beaver","2022-06-29 10:42:00","2022-06-29 11:19:00","muskrat","scat","N","1899-12-31 10:55:00","stream edge","1","2","N","kayak",0,1,0,0,0,0,-71.6073636431,41.64443071,23.6,32,0
"27",27,"Pawtuxet",6,"2022-06-29","John Crockett","beaver","2022-06-29 10:42:00","2022-06-29 11:19:00","beaver","chewed stick","N","1899-12-31 10:56:00","stream edge","1","2","N","kayak",0,1,0,0,0,0,-71.6073636431,41.64443071,23.6,32,0
"28",28,"Pawtuxet",6,"2022-06-29","John Crockett","beaver","2022-06-29 10:42:00","2022-06-29 11:19:00","beaver","chewed stick","N","1899-12-31 11:11:00","stream edge","1","2","N","kayak",0,1,0,0,0,0,-71.6073636431,41.64443071,23.6,32,0
"29",29,"Pawtuxet",9,"2022-02-24","Justin Moore","beaver","2022-02-24 12:29:00","2022-02-24 13:10:00","beaver","chewed stick","N","1899-12-31 12:31:00","river edge","2","5","N","Kayak",0,0,0,0,0,1,-71.6073459573,41.6441999562,-1,89,0
"30",30,"Pawtuxet",9,"2022-02-24","Justin Moore","beaver","2022-02-24 12:29:00","2022-02-24 13:10:00","muskrat","scat","Y","1899-12-31 12:37:00","river edge","2","5","N","Kayak",0,0,0,0,0,1,-71.6073459573,41.6441999562,-1,89,0
"31",31,"Pawtuxet",9,"2022-02-24","Justin Moore","beaver","2022-02-24 12:29:00","2022-02-24 13:10:00","beaver","chewed stick","N","1899-12-31 12:41:00","river edge","2","5","N","Kayak",0,0,0,0,0,1,-71.6073459573,41.6441999562,-1,89,0
"32",32,"Pawtuxet",9,"2022-02-24","Justin Moore","beaver","2022-02-24 12:29:00","2022-02-24 13:10:00","beaver","chewed stick","N","1899-12-31 12:59:00","river edge","2","5","N","Kayak",0,0,0,0,0,1,-71.6073459573,41.6441999562,-1,89,0
"33",33,"Pawtuxet",9,"2022-02-24","Justin Moore","beaver","2022-02-24 12:29:00","2022-02-24 13:10:00","muskrat?","scat","N","1899-12-31 13:01:00","river edge","2","5","N","Kayak",0,0,0,0,0,1,-71.6073459573,41.6441999562,-1,89,0
"34",34,"Pawtuxet",9,"2022-02-24","Justin Moore","beaver","2022-02-24 12:29:00","2022-02-24 13:10:00","otter","latrine","N","1899-12-31 13:03:00","river edge","2","5","N","Kayak",0,0,0,0,0,1,-71.6073459573,41.6441999562,-1,89,0
"35",35,"Pawtuxet",9,"2022-02-24","John Crockett","beaver","2022-02-24 12:28:00","2022-02-24 13:12:00","beaver","chewed stick","N","1899-12-31 12:29:00","stream edge","4","2","N","Kayak",0,0,0,0,0,1,-71.6075805668,41.6445390042,-1,89,0
"36",36,"Pawtuxet",9,"2022-02-24","John Crockett","beaver","2022-02-24 12:28:00","2022-02-24 13:12:00","muskrat","scat","Y","1899-12-31 12:32:00","stream edge","4","2","N","Kayak",0,0,0,0,0,1,-71.6075805668,41.6445390042,-1,89,0
"37",37,"Pawtuxet",9,"2022-02-24","John Crockett","beaver","2022-02-24 12:28:00","2022-02-24 13:12:00","beaver","chewed stick","N","1899-12-31 12:38:00","stream edge","4","2","N","Kayak",0,0,0,0,0,1,-71.6075805668,41.6445390042,-1,89,0
"38",38,"Pawtuxet",9,"2022-02-24","John Crockett","beaver","2022-02-24 12:28:00","2022-02-24 13:12:00","otter","latrine","Y","1899-12-31 12:40:00","stream edge","4","2","N","Kayak",0,0,0,0,0,1,-71.6075805668,41.6445390042,-1,89,0
"39",39,"Pawtuxet",9,"2022-02-24","John Crockett","beaver","2022-02-24 12:28:00","2022-02-24 13:12:00","muskrat","scat","N","1899-12-31 12:46:00","stream edge","4","2","N","Kayak",0,0,0,0,0,1,-71.6075805668,41.6445390042,-1,89,0
"40",40,"Pawtuxet",9,"2022-02-24","John Crockett","beaver","2022-02-24 12:28:00","2022-02-24 13:12:00","beaver","chewed stick","N","1899-12-31 12:48:00","stream edge","4","2","N","Kayak",0,0,0,0,0,1,-71.6075805668,41.6445390042,-1,89,0
"41",41,"Pawtuxet",9,"2022-02-24","John Crockett","beaver","2022-02-24 12:28:00","2022-02-24 13:12:00","beaver","chewed stick","Y","1899-12-31 13:00:00","stream edge","4","2","N","Kayak",0,0,0,0,0,1,-71.6075805668,41.6445390042,-1,89,0
"42",42,"Pawtuxet",9,"2022-02-24","John Crockett","beaver","2022-02-24 12:28:00","2022-02-24 13:12:00","beaver","chewed stick","Y","1899-12-31 13:11:00","stream edge","4","2","N","Kayak",0,0,0,0,0,1,-71.6075805668,41.6445390042,-1,89,0
"43",43,"Pawtuxet",9,"2022-06-29","Jess Burr","N/A","2022-06-29 12:43:00","2022-06-29 13:00:00","beaver","chewed stick","N","1899-12-31 12:47:00","forested river","2","4","N","kayak",0,0,0,0,0,1,-71.6074537486,41.6444499884,25.5,47,0
"44",44,"Pawtuxet",9,"2022-06-29","Jess Burr","N/A","2022-06-29 12:43:00","2022-06-29 13:00:00","beaver","chewed stick","Y","1899-12-31 12:49:00","forested river","2","4","N","kayak",0,0,0,0,0,1,-71.6074537486,41.6444499884,25.5,47,0
"45",45,"Pawtuxet",9,"2022-06-29","Jess Burr","N/A","2022-06-29 12:43:00","2022-06-29 13:00:00","muskrat","scat","N","1899-12-31 12:54:00","forested river","2","4","N","kayak",0,0,0,0,0,1,-71.6074537486,41.6444499884,25.5,47,0
"46",46,"Pawtuxet",9,"2022-06-29","John Crockett","beaver","2022-06-29 12:43:00","2022-06-29 13:01:00","beaver","chewed stick","N","1899-12-31 12:46:00","forested stream","1","2","N","kayak",0,0,0,0,0,1,-71.6073636431,41.64443071,25.5,47,0
"47",47,"Pawtuxet",9,"2022-06-29","John Crockett","beaver","2022-06-29 12:43:00","2022-06-29 13:01:00","muskrat","scat","N","1899-12-31 12:50:00","forested stream","1","2","N","kayak",0,0,0,0,0,1,-71.6073636431,41.64443071,25.5,47,0
"48",48,"Pawtuxet",9,"2022-06-29","John Crockett","beaver","2022-06-29 12:43:00","2022-06-29 13:01:00","beaver","chewed stick","N","1899-12-31 12:56:00","forested stream","1","2","N","kayak",0,0,0,0,0,1,-71.6073636431,41.64443071,25.5,47,0
"49",49,"Pawtuxet",10,"2022-02-24","Justin Moore","beaver","2022-02-24 11:11:00","2022-02-24 12:09:00","beaver","chewed stick","N","1899-12-31 11:13:00","river edge","2","5","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-71.6073459573,41.6441999562,-1.4,85,0
"50",50,"Pawtuxet",10,"2022-02-24","Justin Moore","beaver","2022-02-24 11:11:00","2022-02-24 12:09:00","beaver","stump","Y","1899-12-31 11:24:00","river edge","2","5","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-71.6073459573,41.6441999562,-1.4,85,0
"51",51,"Pawtuxet",10,"2022-02-24","Justin Moore","beaver","2022-02-24 11:11:00","2022-02-24 12:09:00","beaver","dam","Y","1899-12-31 11:29:00","river edge","2","5","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-71.6073459573,41.6441999562,-1.4,85,0
"52",52,"Pawtuxet",10,"2022-02-24","Justin Moore","beaver","2022-02-24 11:11:00","2022-02-24 12:09:00","beaver","chewed stick","N","1899-12-31 11:42:00","river edge","2","5","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-71.6073459573,41.6441999562,-1.4,85,0
"53",53,"Pawtuxet",10,"2022-02-24","Justin Moore","beaver","2022-02-24 11:11:00","2022-02-24 12:09:00","beaver","dam","N","1899-12-31 12:02:00","river edge","2","5","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-71.6073459573,41.6441999562,-1.4,85,0
"54",54,"Pawtuxet",10,"2022-02-24","Justin Moore","beaver","2022-02-24 11:11:00","2022-02-24 12:09:00","beaver","chewed stick","N","1899-12-31 12:06:00","river edge","2","5","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-71.6073459573,41.6441999562,-1.4,85,0
"55",55,"Pawtuxet",10,"2022-02-24","Justin Moore","beaver","2022-02-24 11:11:00","2022-02-24 12:09:00","beaver","lodge","Y","1899-12-31 12:08:00","river edge","2","5","N","Kayak",0,0.689655172413793,0,0,0,0.310344827586207,-71.6073459573,41.6441999562,-1.4,85,0
"56",56,"Pawtuxet",10,"2022-02-24","John Crockett","beaver","2022-02-24 11:11:00","2022-02-24 12:06:00","beaver","chewed stick","Y","1899-12-31 11:12:00","stream edge","4","2","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-71.6075805668,41.6445390042,-1.4,85,0
"57",57,"Pawtuxet",10,"2022-02-24","John Crockett","beaver","2022-02-24 11:11:00","2022-02-24 12:06:00","beaver","chewed stick","Y","1899-12-31 11:22:00","stream edge","4","2","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-71.6075805668,41.6445390042,-1.4,85,0
"58",58,"Pawtuxet",10,"2022-02-24","John Crockett","beaver","2022-02-24 11:11:00","2022-02-24 12:06:00","beaver","dam","Y","1899-12-31 11:26:00","stream edge","4","2","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-71.6075805668,41.6445390042,-1.4,85,0
"59",59,"Pawtuxet",10,"2022-02-24","John Crockett","beaver","2022-02-24 11:11:00","2022-02-24 12:06:00","beaver","chewed stick","Y","1899-12-31 11:32:00","stream edge","4","2","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-71.6075805668,41.6445390042,-1.4,85,0
"60",60,"Pawtuxet",10,"2022-02-24","John Crockett","beaver","2022-02-24 11:11:00","2022-02-24 12:06:00","beaver","lodge","Y","1899-12-31 11:35:00","stream edge","4","2","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-71.6075805668,41.6445390042,-1.4,85,0
"61",61,"Pawtuxet",10,"2022-02-24","John Crockett","beaver","2022-02-24 11:11:00","2022-02-24 12:06:00","beaver","chewed stick","Y","1899-12-31 11:42:00","stream edge","4","2","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-71.6075805668,41.6445390042,-1.4,85,0
"62",62,"Pawtuxet",10,"2022-02-24","John Crockett","beaver","2022-02-24 11:11:00","2022-02-24 12:06:00","beaver","chewed stick","Y","1899-12-31 11:54:00","stream edge","4","2","N","Kayak",0,0.890909090909091,0,0,0,0.109090909090909,-71.6075805668,41.6445390042,-1.4,85,0
"63",63,"Pawtuxet",10,"2022-06-29","Jess Burr","beaver, muskrat","2022-06-29 11:50:00","2022-06-29 12:23:00","beaver","chewed stick","N","1899-12-31 11:52:00","marshy edge of river","2","4","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,-71.6074537486,41.6444499884,24.9,42,0
"64",64,"Pawtuxet",10,"2022-06-29","Jess Burr","beaver, muskrat","2022-06-29 11:50:00","2022-06-29 12:23:00","beaver","small pile of chewed sticks","N","1899-12-31 12:03:00","marshy edge of river","2","4","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,-71.6074537486,41.6444499884,24.9,42,0
"65",65,"Pawtuxet",10,"2022-06-29","Jess Burr","beaver, muskrat","2022-06-29 11:50:00","2022-06-29 12:23:00","muskrat","scat","N","1899-12-31 12:02:00","marshy edge of river","2","4","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,-71.6074537486,41.6444499884,24.9,42,0
"66",66,"Pawtuxet",10,"2022-06-29","Jess Burr","beaver, muskrat","2022-06-29 11:50:00","2022-06-29 12:23:00","muskrat","scat","Y","1899-12-31 12:06:00","marshy edge of river","2","4","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,-71.6074537486,41.6444499884,24.9,42,0
"67",67,"Pawtuxet",10,"2022-06-29","Jess Burr","beaver, muskrat","2022-06-29 11:50:00","2022-06-29 12:23:00","muskrat","scat","N","1899-12-31 12:10:00","forested river","2","4","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,-71.6074537486,41.6444499884,24.9,42,0
"68",68,"Pawtuxet",10,"2022-06-29","Jess Burr","beaver, muskrat","2022-06-29 11:50:00","2022-06-29 12:23:00","beaver","chewed stick","N","1899-12-31 12:13:00","forested river","2","4","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,-71.6074537486,41.6444499884,24.9,42,0
"69",69,"Pawtuxet",10,"2022-06-29","Jess Burr","beaver, muskrat","2022-06-29 11:50:00","2022-06-29 12:23:00","muskrat","scat","N","1899-12-31 12:15:00","forested river","2","4","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,-71.6074537486,41.6444499884,24.9,42,0
"70",70,"Pawtuxet",10,"2022-06-29","Jess Burr","beaver, muskrat","2022-06-29 11:50:00","2022-06-29 12:23:00","beaver","dam","N","1899-12-31 12:17:00","forested river","2","4","N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,-71.6074537486,41.6444499884,24.9,42,0
"71",71,"Pawtuxet",10,"2022-06-29","John Crockett","beaver","2022-06-29 11:52:00","2022-06-29 12:16:00","muskrat","scat","Y","1899-12-31 11:53:00","stream","1","2","N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,-71.6073636431,41.64443071,24.9,42,0
"72",72,"Pawtuxet",10,"2022-06-29","John Crockett","beaver","2022-06-29 11:52:00","2022-06-29 12:16:00","beaver","chewed stick","N","1899-12-31 11:54:00","stream","1","2","N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,-71.6073636431,41.64443071,24.9,42,0
"73",73,"Pawtuxet",10,"2022-06-29","John Crockett","beaver","2022-06-29 11:52:00","2022-06-29 12:16:00","beaver","chewed stick","Y","1899-12-31 12:04:00","stream","1","2","N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,-71.6073636431,41.64443071,24.9,42,0
"74",74,"Pawtuxet",10,"2022-06-29","John Crockett","beaver","2022-06-29 11:52:00","2022-06-29 12:16:00","beaver","dam","Y","1899-12-31 12:06:00","stream","1","2","N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,-71.6073636431,41.64443071,24.9,42,0
"75",75,"Pawtuxet",10,"2022-06-29","John Crockett","beaver","2022-06-29 11:52:00","2022-06-29 12:16:00","beaver","lodge and chewed sticks","N","1899-12-31 12:12:00","stream","1","2","N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,-71.6073636431,41.64443071,24.9,42,0
"76",76,"Pawtuxet",15,"2022-02-01","Justin Moore","N/A","2022-02-01 11:45:00","2022-02-01 12:07:00",NA,NA,NA,NA,NA,"1","5","Y","Foot",0.0909090909090909,0,0.0454545454545455,0,0,0.863636363636364,-71.605771333,41.6689028498,-5.8,77,0
"77",77,"Pawtuxet",15,"2022-02-01","John Crockett","N/A","2022-02-01 11:46:00","2022-02-01 12:06:00","beaver","chewed stick","N","1899-12-31 11:47:00","pond edge","2","2","Y","Foot",0,0,0,0,0,1,-71.6059241351,41.6688151751,-5.8,77,0
"78",78,"Pawtuxet",15,"2022-07-11","John Crockett","N/A","2022-07-11 11:02:00","2022-07-11 11:09:00",NA,NA,NA,NA,NA,"1","2","N","kayak",0.857142857142857,0,0,0,0,0.142857142857143,-71.6175901517,41.6659363266,24.2,1,0
"79",79,"Pawtuxet",15,"2022-07-11","Jess Burr","muskrat","2022-07-11 11:02:00","2022-07-11 11:06:00","beaver","chewed stick","hard to tell from distance","1899-12-31 11:05:00","forested reservoir","2","4","N","kayak",0.75,0,0,0,0,0.25,-71.6174835339,41.665986618,24.2,1,0
"80",80,"Pawtuxet",17,"2022-01-10","Justin Moore","N/A","2022-01-10 10:02:00","2022-01-10 11:09:00","beaver","chewed stick","Y","1899-12-31 10:09:00","pond edge","2","5","Y","Foot",0.283582089552239,0,0,0,0,0.716417910447761,-71.5539733507,41.3866080623,-2.5,1,0.6
"81",81,"Pawtuxet",17,"2022-01-10","Justin Moore","N/A","2022-01-10 10:02:00","2022-01-10 11:09:00","muskrat?","scat","Y","1899-12-31 10:33:00","stream edge","2","5","Y","Foot",0.283582089552239,0,0,0,0,0.716417910447761,-71.5539733507,41.3866080623,-2.5,1,0.6
"82",82,"Pawtuxet",17,"2022-01-10","Justin Moore","N/A","2022-01-10 10:02:00","2022-01-10 11:09:00","otter?","scat","Y","1899-12-31 10:47:00","pond edge","2","5","Y","Foot",0.283582089552239,0,0,0,0,0.716417910447761,-71.5539733507,41.3866080623,-2.5,1,0.6
"83",83,"Pawtuxet",17,"2022-01-10","Justin Moore","N/A","2022-01-10 10:02:00","2022-01-10 11:09:00","beaver","chewed stick","Y","1899-12-31 11:07:00","pond edge","2","5","Y","Foot",0.283582089552239,0,0,0,0,0.716417910447761,-71.5539733507,41.3866080623,-2.5,1,0.6
"84",84,"Pawtuxet",17,"2022-01-10","John Crockett","N/A","2022-01-10 09:57:00","2022-01-10 11:09:00","?","scat","N","1899-12-31 10:09:00","pond edge","1","2","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-71.5550281294,41.3849820569,-2.5,1,0.6
"85",85,"Pawtuxet",17,"2022-01-10","John Crockett","N/A","2022-01-10 09:57:00","2022-01-10 11:09:00","beaver","chewed stick","N","1899-12-31 10:11:00","pond edge","1","2","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-71.5550281294,41.3849820569,-2.5,1,0.6
"86",86,"Pawtuxet",17,"2022-01-10","John Crockett","N/A","2022-01-10 09:57:00","2022-01-10 11:09:00","beaver","chewed stick","Y","1899-12-31 10:13:00","pond edge","1","2","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-71.5550281294,41.3849820569,-2.5,1,0.6
"87",87,"Pawtuxet",17,"2022-01-10","John Crockett","N/A","2022-01-10 09:57:00","2022-01-10 11:09:00","beaver","chewed stick","Y","1899-12-31 10:23:00","pond edge","1","2","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-71.5550281294,41.3849820569,-2.5,1,0.6
"88",88,"Pawtuxet",17,"2022-01-10","John Crockett","N/A","2022-01-10 09:57:00","2022-01-10 11:09:00","beaver","stump","Y","1899-12-31 10:31:00","pond edge","1","2","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-71.5550281294,41.3849820569,-2.5,1,0.6
"89",89,"Pawtuxet",17,"2022-01-10","John Crockett","N/A","2022-01-10 09:57:00","2022-01-10 11:09:00","otter","latrine","N","1899-12-31 10:39:00","pond edge","1","2","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-71.5550281294,41.3849820569,-2.5,1,0.6
"90",90,"Pawtuxet",17,"2022-01-10","John Crockett","N/A","2022-01-10 09:57:00","2022-01-10 11:09:00","beaver","chewed stick","N","1899-12-31 10:53:00","pond edge","1","2","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-71.5550281294,41.3849820569,-2.5,1,0.6
"91",91,"Pawtuxet",17,"2022-01-10","John Crockett","N/A","2022-01-10 09:57:00","2022-01-10 11:09:00","beaver","chewed stick","Y","1899-12-31 11:07:00","pond edge","1","2","Y","Foot",0.388888888888889,0,0,0,0,0.611111111111111,-71.5550281294,41.3849820569,-2.5,1,0.6
"92",92,"Pawtuxet",17,"2022-06-24","Jess Burr","N/A","2022-06-24 09:53:00","2022-06-24 10:48:00","muskrat","scat","N","1899-12-31 10:16:00","forested pond","2","4","N","walking",0.381818181818182,0,0,0,0,0.618181818181818,-71.5713092219,41.6311813518,19.8,30,0.3
"93",93,"Pawtuxet",17,"2022-06-24","Jess Burr","N/A","2022-06-24 09:53:00","2022-06-24 10:48:00","muskrat","scat","N","1899-12-31 10:20:00","forested pond","2","4","N","walking",0.381818181818182,0,0,0,0,0.618181818181818,-71.5713092219,41.6311813518,19.8,30,0.3
"94",94,"Pawtuxet",17,"2022-06-24","Jess Burr","N/A","2022-06-24 09:53:00","2022-06-24 10:48:00","muskrat","scat","N","1899-12-31 10:20:00","forested pond","2","4","N","walking",0.381818181818182,0,0,0,0,0.618181818181818,-71.5713092219,41.6311813518,19.8,30,0.3
"95",95,"Pawtuxet",17,"2022-06-24","Jess Burr","N/A","2022-06-24 09:53:00","2022-06-24 10:48:00","beaver","chewed stick","hard to tell","1899-12-31 10:24:00","forested pond","2","4","N","walking",0.381818181818182,0,0,0,0,0.618181818181818,-71.5713092219,41.6311813518,19.8,30,0.3
"96",96,"Pawtuxet",17,"2022-06-24","Jess Burr","N/A","2022-06-24 09:53:00","2022-06-24 10:48:00","beaver","chewed stick","N","1899-12-31 10:25:00","forested pond","2","4","N","walking",0.381818181818182,0,0,0,0,0.618181818181818,-71.5713092219,41.6311813518,19.8,30,0.3
