"","Watershed","Site.ID","Date","Location","Observer","Expected","Start.Time","End.time","Spp","Sign.Type","Fresh","Time","Photo.Ref","Veg","Camera","GPS","Water.level.rain.report","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest"
"15","Blackstone",130,2023-01-05,"Blackhut WMA #4","John Crockett","N/A",2023-01-05 10:50:00,2023-01-05 11:05:00,"N/A",NA,NA,NA,NA,NA,"1","1","raining","none","walking",0.733333333333333,0,0,0,0,0.266666666666667
"16","Blackstone",128,2023-01-05,"Blackhut WMA #5","John Crockett","N/A",2023-01-05 11:18:00,2023-01-05 11:43:00,"beaver","chewed stick","n","0.47430555555555554",NA,"pond/forest","1","1","raining","none","walking",0,0,0,0,0,1
"17","Blackstone",128,2023-01-05,"Blackhut WMA #5","John Crockett","N/A",2023-01-05 11:18:00,2023-01-05 11:43:00,"beaver","chewed stick","n","0.48125000000000001",NA,"pond/forest","1","1","raining","none","walking",0,0,0,0,0,1
"18","Blackstone",128,2023-01-05,"Blackhut WMA #5","John Crockett","N/A",2023-01-05 11:18:00,2023-01-05 11:43:00,"otter","crayfish bits","n","0.48402777777777778",NA,"forest stream","1","1","raining","none","walking",0,0,0,0,0,1
"19","Blackstone",126,2023-01-05,"Blackhut WMA #6","John Crockett","N/A",2023-01-05 11:59:00,2023-01-05 12:15:00,"N/A",NA,NA,NA,NA,NA,"1","1","raining","none","walking",0,0,0,0,0,1
"20","Blackstone",139,2023-01-06,"Fort Nature Wildlife Refuge, Audubon RI","Chris Boylston","otter, Beaver",2023-01-06 12:08:00,2023-01-06 12:45:00,"Beaver","dam","n","0.50694444444444442",NA,"edge of pond in forest","2","2","recent rain","none","walking",0,0,0,0,0,1
"21","Blackstone",163,2023-01-06,"globe park","Chris Boylston","N/A",2023-01-06 10:04:00,2023-01-06 10:23:00,"N/A",NA,NA,NA,NA,NA,"2","2","recent rain","none","walking",0.722222222222222,0,0.0555555555555556,0,0,0.222222222222222
"22","Blackstone",144,2023-01-06,"North Smithfield Land Trust","Chris Boylston","N/A",2023-01-06 10:48:00,2023-01-06 10:59:00,"N/A",NA,NA,NA,NA,NA,"2","2","recent rain","none","walking",0,0,0,0,0.545454545454545,0.454545454545455
"23","Blackstone",139,2023-01-06,"Audubon Fort","John Crockett","Beaver, otter",2023-01-06 12:09:00,2023-01-06 12:30:00,"Beaver","chewed stick","n","0.51041666666666663",NA,"forest/pond","1","1","raining","none","walking",0,0,0,0,0,1
"24","Blackstone",139,2023-01-06,"Audubon Fort","John Crockett","Beaver, otter",2023-01-06 12:09:00,2023-01-06 12:30:00,"muskrat","scat","y","0.51458333333333328",NA,"forest/pond","1","1","raining","none","walking",0,0,0,0,0,1
"25","Blackstone",163,2023-01-06,"globe park","John Crockett","N/A",2023-01-06 10:04:00,2023-01-06 10:21:00,"N/A",NA,NA,NA,NA,NA,"1","1","raining","none","walking",0.625,0,0.125,0,0,0.25
"26","Blackstone",144,2023-01-06,"North Smithfield Land trust Village Way","John Crockett",NA,2023-01-06 10:48:00,2023-01-06 10:58:00,"N/A",NA,NA,NA,NA,NA,"1","1","raining","none","walking",0,0,0,0,1,0
"27","Woonasquatucket-Moshassuck",69,2023-01-09,"lincoln woods #1","Chris Boylston",NA,2023-01-09 10:12:00,2023-01-09 10:29:00,"muskrat","scat","N","0.42986111111111108",NA,"Pond in field",NA,"2","recent rain","none","Walking",0.823529411764706,0,0.117647058823529,0,0,0.0588235294117647
"28","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","Chris Boylston",NA,2023-01-09 10:37:00,2023-01-09 11:20:00,"Muskrat","scat","n","0.44513888888888892",NA,"edge of lake",NA,"2","recent rain","none","Walking",0.13953488372093,0,0,0,0,0.86046511627907
"29","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","Chris Boylston",NA,2023-01-09 10:37:00,2023-01-09 11:20:00,"otter","pile of shells","y","0.44722222222222219",NA,"edge of lake",NA,"2","recent rain","none","Walking",0.13953488372093,0,0,0,0,0.86046511627907
"30","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","Chris Boylston",NA,2023-01-09 10:37:00,2023-01-09 11:20:00,"otter","pile of shells","y","0.44930555555555557",NA,"edge of lake",NA,"2","recent rain","none","Walking",0.13953488372093,0,0,0,0,0.86046511627907
"31","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","Chris Boylston",NA,2023-01-09 10:37:00,2023-01-09 11:20:00,"otter","pile of shells","y","0.45555555555555555",NA,"edge of lake",NA,"2","recent rain","none","Walking",0.13953488372093,0,0,0,0,0.86046511627907
"32","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","Chris Boylston",NA,2023-01-09 10:37:00,2023-01-09 11:20:00,"otter","pile of shells","n","0.45833333333333331",NA,"edge of lake",NA,"2","recent rain","none","Walking",0.13953488372093,0,0,0,0,0.86046511627907
"33","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","Chris Boylston",NA,2023-01-09 10:37:00,2023-01-09 11:20:00,"otter","scat","y","0.46736111111111112",NA,"edge of lake",NA,"2","recent rain","none","Walking",0.13953488372093,0,0,0,0,0.86046511627907
"34","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","Chris Boylston",NA,2023-01-09 10:37:00,2023-01-09 11:20:00,"otter","pile of shells","n","0.4694444444444445",NA,"edge of lake",NA,"2","recent rain","none","Walking",0.13953488372093,0,0,0,0,0.86046511627907
"35","Woonasquatucket-Moshassuck",67,2023-01-09,"lincoln woods #3","Chris Boylston",NA,2023-01-09 11:55:00,2023-01-09 12:14:00,"muskrat","scat","n","0.49861111111111112",NA,"stream in woods",NA,"2","recent rain","none","Walking",0,0,0,0,0,1
"36","Woonasquatucket-Moshassuck",69,2023-01-09,"lincoln woods #1","John Crockett","N/A",2023-01-09 10:10:00,2023-01-09 10:29:00,"N/A",NA,NA,NA,NA,NA,"1","1","recent rain","none","walking",0.578947368421053,0,0.210526315789474,0,0,0.210526315789474
"37","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","John Crockett","N/A",2023-01-09 10:34:00,2023-01-09 11:16:00,"muskrat","scat","n","0.44166666666666665",NA,"pond/forest","1","1","recent rain","none","walking",0.19047619047619,0,0,0,0,0.80952380952381
"38","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","John Crockett","N/A",2023-01-09 10:34:00,2023-01-09 11:16:00,"otter","latrine","y","0.44513888888888892",NA,"pond/forest","1","1","recent rain","none","walking",0.19047619047619,0,0,0,0,0.80952380952381
"39","Woonasquatucket-Moshassuck",66,2023-01-09,"lincoln woods #2","John Crockett","N/A",2023-01-09 10:34:00,2023-01-09 11:16:00,"otter","chewed shells","y","0.46458333333333335",NA,"pond/forest","1","1","recent rain","none","walking",0.19047619047619,0,0,0,0,0.80952380952381
"40","Woonasquatucket-Moshassuck",67,2023-01-09,"lincoln woods #3","John Crockett","N/A",2023-01-09 11:54:00,2023-01-09 12:14:00,"N/A",NA,NA,NA,NA,NA,"1","1","recent rain","none","walking",0.1,0,0,0,0,0.9
"41","Blackstone",224,2023-01-10,"mercy woods #1","Chris Boylston",NA,2023-01-10 10:28:00,2023-01-10 11:00:00,"N/A",NA,NA,NA,NA,NA,"2","1",NA,"None","walking",0.6875,0,0,0,0,0.3125
"42","Blackstone",211,2023-01-10,"Mercy Woods #5","Chris Boylston",NA,2023-01-10 13:22:00,2023-01-10 13:30:00,"Beaver","chewed stumps","Y","6.0416666666666667E-2",NA,"edge of lake in forest","2","1",NA,"none","Walking",0.75,0,0,0,0,0.25
"43","Blackstone",204,2023-01-10,"Mercy Woods #6","Chris Boylston",NA,2023-01-10 14:00:00,2023-01-10 14:15:00,"N/A",NA,NA,NA,NA,NA,"2","1",NA,"none","Walking",0.466666666666667,0,0,0,0,0.533333333333333
"44","Blackstone",224,2023-01-10,"mercy woods #1","John Crockett","N/A",2023-01-10 10:28:00,2023-01-10 10:48:00,"Beaver","chewed stick","n","0.4381944444444445",NA,"pond edge","1","2","none","none","walking",0.45,0,0,0,0,0.55
"45","Blackstone",197,2023-01-10,"mercy woods #2","John Crockett","beaver",2023-01-10 11:13:00,2023-01-10 11:42:00,"beaver","chewed stick","n","0.47222222222222227",NA,"pond edge","1","2","none","none","walking",0.551724137931034,0,0,0,0,0.448275862068966
"46","Blackstone",197,2023-01-10,"mercy woods #2","John Crockett","beaver",2023-01-10 11:13:00,2023-01-10 11:42:00,"beaver","chewed stick","n","0.48055555555555557",NA,"pond edge","1","2","none","none","walking",0.551724137931034,0,0,0,0,0.448275862068966
"47","Blackstone",196,2023-01-10,"mercy woods #3","John Crockett","beaver",2023-01-10 11:59:00,2023-01-10 12:40:00,"beaver","chewed stick","y","0.5",NA,"pond edge","1","2","none","none","walking",0.0487804878048781,0,0,0,0,0.951219512195122
"48","Blackstone",196,2023-01-10,"mercy woods #3","John Crockett","beaver",2023-01-10 11:59:00,2023-01-10 12:40:00,"beaver","chewed stick","y","0.50694444444444442",NA,"pond edge","1","2","none","none","walking",0.0487804878048781,0,0,0,0,0.951219512195122
"49","Blackstone",196,2023-01-10,"mercy woods #3","John Crockett","beaver",2023-01-10 11:59:00,2023-01-10 12:40:00,"beaver","chewed stick","y","0.51388888888888895",NA,"pond edge","1","2","none","none","walking",0.0487804878048781,0,0,0,0,0.951219512195122
"50","Blackstone",196,2023-01-10,"mercy woods #3","John Crockett","beaver",2023-01-10 11:59:00,2023-01-10 12:40:00,"otter","scat","n","0.52013888888888882",NA,"pond edge","1","2","none","none","walking",0.0487804878048781,0,0,0,0,0.951219512195122
"51","Blackstone",196,2023-01-10,"mercy woods #3","John Crockett","beaver",2023-01-10 11:59:00,2023-01-10 12:40:00,"beaver","chewed stick","y","0.52222222222222225",NA,"pond edge","1","2","none","none","walking",0.0487804878048781,0,0,0,0,0.951219512195122
"52","Blackstone",225,2023-01-10,"mercy woods #4","John Crockett","beaver",2023-01-10 12:46:00,2023-01-10 13:08:00,"beaver","chewed stick","y","0.53263888888888888",NA,"pond edge","1","2","none","none","walking",0.272727272727273,0,0,0,0,0.727272727272727
"53","Blackstone",225,2023-01-10,"mercy woods #4","John Crockett","beaver",2023-01-10 12:46:00,2023-01-10 13:08:00,"beaver","chewed stick","y","0.54513888888888895",NA,"pond edge","1","2","none","none","walking",0.272727272727273,0,0,0,0,0.727272727272727
"54","Blackstone",211,2023-01-10,"Mercy Woods #5","John Crockett","Beaver",2023-01-10 13:19:00,2023-01-10 13:27:00,"beaver","chewed stick","n","0.55625000000000002",NA,"pond edge","1","2","none","none","walking",0.333333333333333,0,0,0,0,0.666666666666667
"55","Blackstone",211,2023-01-10,"Mercy Woods #5","John Crockett","Beaver",2023-01-10 13:19:00,2023-01-10 13:27:00,"beaver","chewed stick","y","0.55694444444444446",NA,"pond edge","1","2","none","none","walking",0.333333333333333,0,0,0,0,0.666666666666667
"56","Blackstone",204,2023-01-10,"Mercy Woods #6","John Crockett","N/A",2023-01-10 14:00:00,2023-01-10 14:14:00,"N/A",NA,NA,NA,NA,NA,"1","2","none","none","walking",0.214285714285714,0,0,0,0,0.785714285714286
"57","Blackstone",76,2023-01-11,"lodge open space #1","Chris Boylston","N/A",2023-01-11 10:11:00,2023-01-11 10:29:00,"muskrat","scat","n","0.42708333333333331",NA,"marsh in woods","2","1","none",NA,"walking",0,0,0,0,0,1
"58","Blackstone",80,2023-01-11,"lodge open space #2","Chris Boylston",NA,2023-01-11 10:32:00,2023-01-11 10:48:00,"N/A",NA,NA,NA,NA,NA,"2","1","none",NA,"walking",0,0,0,0,0,1
"59","Blackstone",89,2023-01-11,"lodge open space #3","Chris Boylston",NA,2023-01-11 10:53:00,2023-01-11 11:08:00,"N/A",NA,NA,NA,NA,NA,"2","1","none",NA,"walking",0,0,0,0,0,1
"60","Blackstone",76,2023-01-11,"burriville lodge open space #1","John Crockett","N/A",2023-01-11 10:11:00,2023-01-11 10:24:00,"N/A",NA,NA,NA,NA,NA,"1","2","none","none","walking",0,0,0,0,0,1
"61","Blackstone",80,2023-01-11,"burriville lodge open space #2","John Crockett","N/A",2023-01-11 10:25:00,2023-01-11 10:43:00,"N/A",NA,NA,NA,NA,NA,"1","2","none","none","walking",0,0,0,0,0,1
"62","Blackstone",89,2023-01-11,"burriville lodge open space #3","John Crockett","N/A",2023-01-11 10:50:00,2023-01-11 11:05:00,"N/A",NA,NA,NA,NA,NA,"1","2","none","none","walking",0,0,0,0,0,1
"63","Woonasquatucket-Moshassuck",17,2023-01-13,"Georgaville Beach #1","Chris Boylston","N/A",2023-01-13 10:06:00,2023-01-13 10:22:00,"otter","shells","y","0.42152777777777778",NA,"edge of lake","2","1",NA,NA,"walking",0.8125,0,0.1875,0,0,0
"64","Woonasquatucket-Moshassuck",17,2023-01-13,"Georgaville Beach #1","Chris Boylston","N/A",2023-01-13 10:06:00,2023-01-13 10:22:00,"beaver","chewed stick","y","0.42499999999999999",NA,"edge of lake","2","1",NA,NA,"walking",0.8125,0,0.1875,0,0,0
"65","Woonasquatucket-Moshassuck",17,2023-01-13,"Georgaville Beach #1","Chris Boylston","N/A",2023-01-13 10:06:00,2023-01-13 10:22:00,"otter","shells","y","0.43055555555555558",NA,"edge of lake","2","1",NA,NA,"walking",0.8125,0,0.1875,0,0,0
"66","Woonasquatucket-Moshassuck",19,2023-01-13,"Georgaville Beach #2","Chris Boylston",NA,2023-01-13 10:22:00,2023-01-13 10:44:00,"otter","shells","y","0.43263888888888885",NA,"edge of lake","2","1",NA,NA,"walking",0.363636363636364,0,0.454545454545455,0,0,0.181818181818182
"67","Woonasquatucket-Moshassuck",19,2023-01-13,"Georgaville Beach #2","Chris Boylston",NA,2023-01-13 10:22:00,2023-01-13 10:44:00,"otter","shells","n","0.43958333333333338",NA,"edge of lake","2","1",NA,NA,"walking",0.363636363636364,0,0.454545454545455,0,0,0.181818181818182
"68","Woonasquatucket-Moshassuck",18,2023-01-13,"Georgaville Beach #3","Chris Boylston",NA,2023-01-13 10:44:00,2023-01-13 11:17:00,"otter","shells","n","0.42777777777777781",NA,"edge of lake","2","1",NA,NA,"walking",0.181818181818182,0,0.454545454545455,0,0,0.363636363636364
"69","Woonasquatucket-Moshassuck",18,2023-01-13,"Georgaville Beach #3","Chris Boylston",NA,2023-01-13 10:44:00,2023-01-13 11:17:00,"otter","shells","n","0.45555555555555555",NA,"edge of lake","2","1",NA,NA,"walking",0.181818181818182,0,0.454545454545455,0,0,0.363636363636364
"70","Woonasquatucket-Moshassuck",17,2023-01-13,"Georgaville Beach #1","John Crockett","N/A",2023-01-13 10:05:00,2023-01-13 10:10:00,"N/A",NA,NA,NA,NA,NA,"1","phone","recent rain","none","walking",NA,NA,NA,NA,NA,NA
"71","Woonasquatucket-Moshassuck",19,2023-01-13,"Georgaville Beach #2","John Crockett","N/A",2023-01-13 10:11:00,2023-01-13 10:30:00,"otter","chewed shells","y","0.42430555555555555",NA,"pond edge","1","phone","recent rain","none","walking",0.647058823529412,0,0.352941176470588,0,0,0
"72","Woonasquatucket-Moshassuck",19,2023-01-13,"Georgaville Beach #2","John Crockett","N/A",2023-01-13 10:11:00,2023-01-13 10:30:00,"beaver","chewed stick","n","0.4284722222222222",NA,"pond edge","1","phone","recent rain","none","walking",0.647058823529412,0,0.352941176470588,0,0,0
"73","Woonasquatucket-Moshassuck",18,2023-01-13,"Georgaville Beach #3","John Crockett","N/A",2023-01-13 10:33:00,2023-01-13 10:51:00,"N/A",NA,NA,NA,NA,NA,"1","phone","recent rain","none","walking",0.0555555555555556,0,0.5,0,0,0.444444444444444
"74","Blackstone",79,2023-01-20,"sprague farm #1","Chris Boylston",NA,2023-01-20 10:48:00,2023-01-20 11:35:00,"N/A",NA,NA,NA,NA,NA,"2","2","recent rain",NA,"walking",0,0.127659574468085,0,0,0,0.872340425531915
"75","Blackstone",79,2023-01-20,"sprague farm #1","John Crockett","N/A",2023-01-20 10:46:00,2023-01-20 11:30:00,"N/A",NA,NA,NA,NA,NA,"1","1","mixed precip",NA,"walking",0,0.25,0,0,0,0.75
"76","Blackstone",101,2023-01-23,"sprague farm #2","John Crockett","N/A",2023-01-23 10:46:00,2023-01-23 11:11:00,"N/A",NA,NA,NA,NA,NA,"1","1","mixed precip",NA,"walking",0,0,0,0,0,1
"77","Blackstone",82,2023-01-23,"sprague farm #3","John Crockett","N/A",2023-01-23 12:01:00,2023-01-23 12:22:00,"N/A",NA,NA,NA,NA,NA,"1","1","mixed precip",NA,"walking",0,0,0,0,0,1
"78","Blackstone",101,2023-01-23,"sprague farm #2","Chris Boylston","N/A",2023-01-23 10:46:00,2023-01-23 11:26:00,"N/A",NA,NA,NA,NA,NA,"2","2","recent rain","none","Walking",0,0,0,0,0,1
"79","Blackstone",82,2023-01-23,"sprague farm #3","Chris Boylston","N/A",2023-01-23 12:00:00,2023-01-23 12:23:00,"N/A",NA,NA,NA,NA,NA,"2","2","recent rain","none","Walking",0,0,0,0,0,1
"80","Blackstone",115,2023-01-24,"Round Top WMA","Chris Boylston","Beaver",2023-01-24 10:52:00,2023-01-24 11:24:00,"Beaver","chewed stick","n","0.46249999999999997",NA,"swampy stream","2","2","recent rain","snow","walking",0,0,0,0,0.46875,0.53125
"81","Blackstone",115,2023-01-24,"Round Top WMA","Chris Boylston","Beaver",2023-01-24 10:52:00,2023-01-24 11:24:00,"beaver","chewed stick","y","0.46666666666666662",NA,"edge of marsh","2","2","recent rain","snow","walking",0,0,0,0,0.46875,0.53125
"82","Blackstone",115,2023-01-24,"Round Top WMA","John Crockett","beaver",2023-01-24 10:52:00,2023-01-24 11:24:00,"beaver","chewed stick","N","0.47222222222222227",NA,"shrub swamp","1","1",NA,"light snow","walking",0,0,0,0,0.1875,0.8125
"83","Woonasquatucket-Moshassuck",38,2023-01-25,"stillwater reservoir #1","Chris Boylston","N/A",2023-01-25 12:28:00,2023-01-25 13:03:00,"Otter","collection of shells","no","0.52708333333333335",NA,"edge of small island on lake","2","2","recent rain","none","kayak",1,0,0,0,0,0
"84","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater reservoir #2","Chris Boylston","na",2023-01-25 13:34:00,2023-01-25 14:14:00,"beaver","chewed stick","y","6.6666666666666666E-2",NA,"edge of lake","2","2","recent rain","none","kayak",0.725,0,0,0,0,0.275
"85","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater reservoir #2","Chris Boylston","na",2023-01-25 13:34:00,2023-01-25 14:14:00,"otter","eaten fish","y","7.013888888888889E-2","2","edge of lake","2","2","recent rain","none","kayak",0.725,0,0,0,0,0.275
"86","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater reservoir #2","Chris Boylston","na",2023-01-25 13:34:00,2023-01-25 14:14:00,"beaver","chewed stump","n","7.2222222222222229E-2",NA,"edge of lake","2","2","recent rain","none","kayak",0.725,0,0,0,0,0.275
"87","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater reservoir #2","Chris Boylston","na",2023-01-25 13:34:00,2023-01-25 14:14:00,"otter","eaten fish","y","7.6388888888888895E-2",NA,"edge of lake","2","2","recent rain","none","kayak",0.725,0,0,0,0,0.275
"88","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater reservoir #2","Chris Boylston","na",2023-01-25 13:34:00,2023-01-25 14:14:00,"beaver","chewed stick","n","8.3333333333333329E-2",NA,"edge of lake","2","2","recent rain","none","kayak",0.725,0,0,0,0,0.275
"89","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater reservoir #2","Chris Boylston","na",2023-01-25 13:34:00,2023-01-25 14:14:00,"beaver","chewed stick","y","8.5416666666666655E-2",NA,"edge of lake","2","2","recent rain","none","kayak",0.725,0,0,0,0,0.275
"90","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater reservoir #2","Chris Boylston","na",2023-01-25 13:34:00,2023-01-25 14:14:00,"otter","eaten fish","y","8.7500000000000008E-2",NA,"edge of lake","2","2","recent rain","none","kayak",0.725,0,0,0,0,0.275
"91","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater Reservoir North","John Crockett",NA,2023-01-25 13:34:00,2023-01-25 14:13:00,"beaver","chewed stick","n","0.56874999999999998",NA,"pond edge","1","1",NA,"recent snow","kayaking",0.923076923076923,0,0,0,0,0.0769230769230769
"92","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater Reservoir North","John Crockett",NA,2023-01-25 13:34:00,2023-01-25 14:13:00,"beaver","chewed stick","y","0.56944444444444442",NA,"pond edge","1","1",NA,"recent snow","kayaking",0.923076923076923,0,0,0,0,0.0769230769230769
"93","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater Reservoir North","John Crockett",NA,2023-01-25 13:34:00,2023-01-25 14:13:00,"beaver","chewed stick","y","0.5805555555555556",NA,"pond edge","1","1",NA,"recent snow","kayaking",0.923076923076923,0,0,0,0,0.0769230769230769
"94","Woonasquatucket-Moshassuck",41,2023-01-25,"stillwater Reservoir North","John Crockett",NA,2023-01-25 13:34:00,2023-01-25 14:13:00,"otter?","fish head","y","0.58263888888888882",NA,"pond edge","1","1",NA,"recent snow","kayaking",0.923076923076923,0,0,0,0,0.0769230769230769
"95","Woonasquatucket-Moshassuck",38,2023-01-25,"stillwater Reservoir South","John Crockett","N/A",2023-01-25 12:26:00,2023-01-25 12:56:00,"beaver","chewed stick","N","0.52777777777777779",NA,"reservoir edge","1","1",NA,"recent snow","kayaking",1,0,0,0,0,0
"96","Woonasquatucket-Moshassuck",38,2023-01-25,"stillwater Reservoir South","John Crockett","N/A",2023-01-25 12:26:00,2023-01-25 12:56:00,"beaver","chewed stick","n","0.53611111111111109",NA,"reservoir edge","1","1",NA,"recent snow","kayaking",1,0,0,0,0,0
"97","Blackstone",180,2023-01-26,"scott brook","Chris Boylston","N/A",2023-01-26 10:46:00,2023-01-26 11:25:00,"beaver","chewed stick","n","0.45069444444444445",NA,"swamp in forest","2","2","recent rain","none","walking",0,0.0512820512820513,0,0,0,0.948717948717949
"98","Blackstone",180,2023-01-26,"scott brook","Chris Boylston","N/A",2023-01-26 10:46:00,2023-01-26 11:25:00,"beaver","lodge","n","0.46875",NA,"swamp in forest","2","2","recent rain","none","walking",0,0.0512820512820513,0,0,0,0.948717948717949
"99","Blackstone",180,2023-01-26,"scott brook","Chris Boylston","N/A",2023-01-26 10:46:00,2023-01-26 11:25:00,"beaver","chewed stump","n","0.47222222222222227",NA,"swamp in forest","2","2","recent rain","none","walking",0,0.0512820512820513,0,0,0,0.948717948717949
"100","Blackstone",182,2023-01-26,"tucker field #1","Chris Boylston","N/A",2023-01-26 11:48:00,2023-01-26 11:55:00,"N/A",NA,NA,NA,NA,NA,"2","2","recent rain","none","walking",0,0,1,0,0,0
"101","Blackstone",201,2023-01-26,"tucker field #2","Chris Boylston","N/A",2023-01-26 11:55:00,2023-01-26 12:05:00,"Beaver","Chewed Stick","N","0.50208333333333333",NA,"Pond in field","2","2","recent rain","none","walking",0.3,0,0.7,0,0,0
"102","Blackstone",184,2023-01-26,"tucker field #3","Chris Boylston","N/A",2023-01-26 12:30:00,2023-01-26 12:53:00,"Muskrat","Scat","N","0.53541666666666665",NA,"Swamp in woods","2","2","recent rain","none","walking",0,0,0,0,0,1
"103","Blackstone",180,2023-01-26,"scott brook","John Crockett","N/A",2023-01-26 10:46:00,2023-01-26 11:25:00,"Beaver","stump","n","0.44861111111111113",NA,"forested swamp","1","1","heavy rain?",NA,"walking",0,0,0,0,0,1
"104","Blackstone",180,2023-01-26,"scott brook","John Crockett","N/A",2023-01-26 10:46:00,2023-01-26 11:25:00,"Beaver","chewed stick","n","0.46458333333333335",NA,"forested swamp","1","1","heavy rain?",NA,"walking",0,0,0,0,0,1
"105","Blackstone",182,2023-01-26,"tucker field #1","John Crockett",NA,2023-01-26 11:48:00,2023-01-26 11:54:00,"N/A",NA,NA,NA,NA,"forested swamp","1","1","heavy rain?",NA,"walking",0,0,1,0,0,0
