"","Newtime","Watershed","Site.ID","Date","Observer","Expected","Start.Time","End.time","Spp","Sign.Type","Fresh","Time","Photo.Ref","Veg","Camera","GPS","Water.level.rain.report","snow","Mode","X","lon","lat","ele","time"
"11",2021-07-15 13:32:00,"Quinebaug",5761,2021-07-15,"Kylie Rezendes","muskrat, beaver",1899-12-31 13:06:00,1899-12-31 14:00:00,"musk?","chewed veg",NA,1899-12-31 13:32:00,"6","stream",2,1,NA,"N","Kayak",4941,-71.7718804535,41.6878817417,107.32,"2021-07-15T17:31:31Z"
"12",2021-07-15 13:45:00,"Quinebaug",5761,2021-07-15,"Kylie Rezendes","muskrat, beaver",1899-12-31 13:06:00,1899-12-31 14:00:00,"beaver","castor mound",NA,1899-12-31 13:45:00,"7","stream",2,1,NA,"N","Kayak",4976,-71.7708999384,41.6882151738,108.29,"2021-07-15T17:44:46Z"
"13",2021-07-26 09:42:00,"Pawcatuck",4337,2021-07-26,"John Crockett","muskrat, beaver",1899-12-31 09:40:00,1899-12-31 10:06:00,"musk?","chewed veg","Y",1899-12-31 09:42:00,"1","stream/forest",2,1,"recent rain","N","Kayak",6076,-71.6969707143,41.5423080325,46.28,"2021-07-26T13:41:31Z"
"14",2021-07-26 10:00:00,"Pawcatuck",4337,2021-07-26,"John Crockett","muskrat, beaver",1899-12-31 09:40:00,1899-12-31 10:06:00,"beaver","chewed stick","N",1899-12-31 10:00:00,"2","stream/forest",2,1,"recent rain","N","Kayak",6121,-71.6972791683,41.5431897249,34.26,"2021-07-26T13:59:33Z"
"15",2021-07-26 10:33:00,"Pawcatuck",4335,2021-07-26,"John Crockett","muskrat, beaver",1899-12-31 10:14:00,1899-12-31 11:38:00,"beaver","chewed stick","N",1899-12-31 10:33:00,"3","emergent marsh",2,1,"recent rain","N","Kayak",6221,-71.6984816361,41.5448109526,32.82,"2021-07-26T14:32:31Z"
"16",2021-07-26 10:42:00,"Pawcatuck",4335,2021-07-26,"John Crockett","muskrat, beaver",1899-12-31 10:14:00,1899-12-31 11:38:00,"muskrat","chewed veg","Y",1899-12-31 10:42:00,"4","emergent marsh",2,1,"recent rain","N","Kayak",6248,-71.6987180058,41.5445442405,34.74,"2021-07-26T14:41:51Z"
"17",2021-07-26 10:51:00,"Pawcatuck",4335,2021-07-26,"John Crockett","muskrat, beaver",1899-12-31 10:14:00,1899-12-31 11:38:00,"beaver","chewed stick","N",1899-12-31 10:51:00,"5","emergent marsh",2,1,"recent rain","N","Kayak",6276,-71.6990240291,41.5448547062,38.11,"2021-07-26T14:50:40Z"
"18",2021-07-26 10:59:00,"Pawcatuck",4335,2021-07-26,"John Crockett","muskrat, beaver",1899-12-31 10:14:00,1899-12-31 11:38:00,"muskrat","scat","N",1899-12-31 10:59:00,NA,"emergent marsh",2,1,"recent rain","N","Kayak",6296,-71.6991371848,41.5452165529,35.71,"2021-07-26T14:58:41Z"
"19",2021-07-26 11:07:00,"Pawcatuck",4335,2021-07-26,"John Crockett","muskrat, beaver",1899-12-31 10:14:00,1899-12-31 11:38:00,"otter","latrine","N",1899-12-31 11:07:00,NA,"forest/river",2,1,"recent rain","N","Kayak",6316,-71.6992058326,41.5453696903,36.19,"2021-07-26T15:07:00Z"
"20",2021-07-26 11:19:00,"Pawcatuck",4335,2021-07-26,"John Crockett","muskrat, beaver",1899-12-31 10:14:00,1899-12-31 11:38:00,"muskrat","chewed veg","Y",1899-12-31 11:19:00,"6","forest/river",2,1,"recent rain","N","Kayak",6345,-71.6997351497,41.5468896646,36.19,"2021-07-26T15:18:32Z"
"21",2021-07-26 11:25:00,"Pawcatuck",4335,2021-07-26,"John Crockett","muskrat, beaver",1899-12-31 10:14:00,1899-12-31 11:38:00,"beaver","chewed branch","N",1899-12-31 11:25:00,"7","forest/river",2,1,"recent rain","N","Kayak",6360,-71.6999332141,41.5466294065,42.92,"2021-07-26T15:24:41Z"
"22",2021-07-29 09:19:00,"Quinebaug",5771,2021-07-29,"John Crockett","beaver",1899-12-31 09:10:00,1899-12-31 10:02:00,"beaver","castor mound","Y",1899-12-31 09:19:00,"1","emergent marsh",3,1,"recent rain","N","Kayak",6754,-71.7423447222,41.6859005112,128.95,"2021-07-29T13:18:31Z"
"23",2021-07-29 09:27:00,"Quinebaug",5771,2021-07-29,"John Crockett","beaver",1899-12-31 09:10:00,1899-12-31 10:02:00,"musk?","chewed veg","Y",1899-12-31 09:27:00,"2","emergent marsh",3,1,"recent rain","N","Kayak",6776,-71.7419810314,41.686153058,132.8,"2021-07-29T13:26:54Z"
"24",2021-07-29 09:33:00,"Quinebaug",5771,2021-07-29,"John Crockett","beaver",1899-12-31 09:10:00,1899-12-31 10:02:00,"beaver","castor mound","Y",1899-12-31 09:33:00,"3","emergent marsh",3,1,"recent rain","N","Kayak",6790,-71.7417688016,41.6861925367,133.76,"2021-07-29T13:32:35Z"
"25",2021-07-29 09:40:00,"Quinebaug",5771,2021-07-29,"John Crockett","beaver",1899-12-31 09:10:00,1899-12-31 10:02:00,"?","bank den","Y",1899-12-31 09:40:00,"4","emergent marsh",3,1,"recent rain","N","Kayak",6809,-71.7414427456,41.6863292456,131.84,"2021-07-29T13:39:49Z"
"26",2021-07-29 09:45:00,"Quinebaug",5771,2021-07-29,"John Crockett","beaver",1899-12-31 09:10:00,1899-12-31 10:02:00,"beaver","dam","N",1899-12-31 09:45:00,"5","emergent marsh",3,1,"recent rain","N","Kayak",6821,-71.741252644,41.6860433389,135.2,"2021-07-29T13:44:51Z"
"27",2021-07-29 09:47:00,"Quinebaug",5771,2021-07-29,"John Crockett","beaver",1899-12-31 09:10:00,1899-12-31 10:02:00,"beaver","castor mound","Y",1899-12-31 09:47:00,"6","emergent marsh",3,1,"recent rain","N","Kayak",6825,-71.7411420867,41.6860343702,135.68,"2021-07-29T13:46:31Z"
"28",2021-07-29 09:49:00,"Quinebaug",5771,2021-07-29,"John Crockett","beaver",1899-12-31 09:10:00,1899-12-31 10:02:00,"beaver","chewed stick","Y",1899-12-31 09:49:00,"7","emergent marsh",3,1,"recent rain","N","Kayak",6831,-71.7411068827,41.6859826539,131.36,"2021-07-29T13:48:36Z"
"29",2021-07-29 09:59:00,"Quinebaug",5771,2021-07-29,"John Crockett","beaver",1899-12-31 09:10:00,1899-12-31 10:02:00,"beaver","castor mound","N",1899-12-31 09:59:00,"8","emergent marsh",3,1,"recent rain","N","Kayak",6859,-71.7398394551,41.6857026983,132.32,"2021-07-29T13:58:58Z"
"30",2021-07-29 10:01:00,"Quinebaug",5771,2021-07-29,"John Crockett","beaver",1899-12-31 09:10:00,1899-12-31 10:02:00,"beaver","lodge","N",1899-12-31 10:01:00,"9","emergent marsh",3,1,"recent rain","N","Kayak",6863,-71.7396137305,41.6859477013,134.24,"2021-07-29T14:00:51Z"
"31",2021-07-29 10:23:00,"Quinebaug",5756,2021-07-29,"John Crockett","beaver",1899-12-31 10:19:00,1899-12-31 10:53:00,"muskrat","feed bed","N",1899-12-31 10:23:00,"1","emergent marsh",3,1,"recent rain","N","Kayak",6923,-71.7360348254,41.6843416449,130.4,"2021-07-29T14:22:48Z"
"32",2021-07-29 10:26:00,"Quinebaug",5756,2021-07-29,"John Crockett","beaver",1899-12-31 10:19:00,1899-12-31 10:53:00,"beaver","chewed stick","Y",1899-12-31 10:26:00,"2","emergent marsh",3,1,"recent rain","N","Kayak",6928,-71.7360923253,41.6843668744,131.84,"2021-07-29T14:25:45Z"
"33",2021-07-29 10:30:00,"Quinebaug",5756,2021-07-29,"John Crockett","beaver",1899-12-31 10:19:00,1899-12-31 10:53:00,"?","feed bed","Y",1899-12-31 10:30:00,"3","emergent marsh",3,1,"recent rain","N","Kayak",6936,-71.7358212546,41.6844595782,137.61,"2021-07-29T14:29:33Z"
"34",2021-07-29 10:36:00,"Quinebaug",5756,2021-07-29,"John Crockett","beaver",1899-12-31 10:19:00,1899-12-31 10:53:00,"beaver","chewed stick","Y",1899-12-31 10:36:00,"4","emergent marsh",3,1,"recent rain","N","Kayak",6951,-71.735685803,41.6842004936,136.64,"2021-07-29T14:35:49Z"
"35",2021-07-29 10:39:00,"Quinebaug",5756,2021-07-29,"John Crockett","beaver",1899-12-31 10:19:00,1899-12-31 10:53:00,"beaver","visual encounter","Y",1899-12-31 10:39:00,NA,"emergent marsh",3,1,"recent rain","N","Kayak",6959,-71.7355170753,41.6841890942,131.36,"2021-07-29T14:38:44Z"
"36",2021-07-29 10:44:00,"Quinebaug",5756,2021-07-29,"John Crockett","beaver",1899-12-31 10:19:00,1899-12-31 10:53:00,"beaver","chewed stick","Y",1899-12-31 10:44:00,"5","emergent marsh",3,1,"recent rain","N","Kayak",6971,-71.7352368683,41.6842675488,134.72,"2021-07-29T14:43:46Z"
"37",2021-07-29 10:45:00,"Quinebaug",5756,2021-07-29,"John Crockett","beaver",1899-12-31 10:19:00,1899-12-31 10:53:00,"beaver","dam","Y",1899-12-31 10:45:00,NA,"emergent marsh",3,1,"recent rain","N","Kayak",6973,-71.7351938691,41.6842978075,132.32,"2021-07-29T14:44:30Z"
"38",2021-07-29 10:50:00,"Quinebaug",5756,2021-07-29,"John Crockett","beaver",1899-12-31 10:19:00,1899-12-31 10:53:00,"beaver","castor mound","Y",1899-12-31 10:50:00,"6,7","emergent marsh",3,1,"recent rain","N","Kayak",6989,-71.7349077947,41.6839431692,133.76,"2021-07-29T14:49:36Z"
"39",2021-07-30 09:12:00,"Pawcatuck",1113,2021-07-30,"John Crockett",NA,1899-12-31 09:01:00,1899-12-31 09:49:00,"muskrat","scat","Y",1899-12-31 09:12:00,"1","forested swamp",3,1,"recent rain","N","Foot",7152,-71.7273580469,41.4682671614,46.76,"2021-07-30T13:11:40Z"
"40",2021-07-30 09:48:00,"Pawcatuck",1113,2021-07-30,"John Crockett",NA,1899-12-31 09:01:00,1899-12-31 09:49:00,"?","scat","Y",1899-12-31 09:48:00,"2","forested swamp",3,1,"recent rain","N","Foot",7247,-71.7283359636,41.4690511208,21.29,"2021-07-30T13:47:44Z"
"41",2021-07-30 10:30:00,"Pawcatuck",1079,2021-07-30,"John Crockett",NA,1899-12-31 10:08:00,1899-12-31 11:04:00,"musk?","scat","N",1899-12-31 10:30:00,NA,"forested swamp",3,1,"recent rain","N","Foot",7369,-71.7181165796,41.4684575144,13.12,"2021-07-30T14:29:42Z"
"42",2021-07-30 10:35:00,"Pawcatuck",1079,2021-07-30,"John Crockett",NA,1899-12-31 10:08:00,1899-12-31 11:04:00,"beaver","chewed stick","N",1899-12-31 10:35:00,"3","forested swamp",3,1,"recent rain","N","Foot",7384,-71.7181165796,41.4687606879,23.21,"2021-07-30T14:34:49Z"
"43",2021-07-30 10:42:00,"Pawcatuck",1079,2021-07-30,"John Crockett",NA,1899-12-31 10:08:00,1899-12-31 11:04:00,"?","track","Y",1899-12-31 10:42:00,"4,5","forested swamp",3,1,"recent rain","N","Foot",7402,-71.7182197608,41.4690236282,22.73,"2021-07-30T14:41:38Z"
"44",2021-07-30 12:01:00,"Pawcatuck",1248,2021-07-30,"John Crockett",NA,1899-12-31 11:56:00,1899-12-31 12:11:00,"beaver","lodge","N",1899-12-31 12:01:00,"6","forested swamp",3,1,"recent rain","N","Foot",7788,-71.7651949637,41.5066459682,93.39,"2021-07-30T16:00:44Z"
"45",2021-07-30 12:31:00,"Pawcatuck",1652,2021-07-30,"John Crockett",NA,1899-12-31 12:27:00,1899-12-31 13:00:00,"beaver","chewed stick","N",1899-12-31 12:31:00,"7","pond/forest edge",3,1,"recent rain","N","Foot",7945,-71.7598722875,41.5004841797,48.68,"2021-07-30T16:30:35Z"
"46",2021-07-30 13:52:00,"Pawcatuck",384,2021-07-30,"John Crockett",NA,1899-12-31 13:43:00,1899-12-31 14:42:00,"beaver","chewed stick","N",1899-12-31 13:52:00,"8","forested swamp",3,1,"recent rain","N","Foot",8278,-71.7602683324,41.4491472859,34.74,"2021-07-30T17:51:45Z"
"47",2021-07-30 14:02:00,"Pawcatuck",384,2021-07-30,"John Crockett",NA,1899-12-31 13:43:00,1899-12-31 14:42:00,"beaver","chewed stick","N",1899-12-31 14:02:00,"9","forested swamp",3,1,"recent rain","N","Foot",8308,-71.7600202281,41.4494109806,31.86,"2021-07-30T18:01:51Z"
"48",2021-07-30 14:08:00,"Pawcatuck",384,2021-07-30,"John Crockett",NA,1899-12-31 13:43:00,1899-12-31 14:42:00,"?","chewed veg","Y",1899-12-31 14:08:00,"10","forested swamp",3,1,"recent rain","N","Foot",8323,-71.7599107604,41.4496009983,33.3,"2021-07-30T18:07:47Z"
"49",2021-07-30 14:14:00,"Pawcatuck",384,2021-07-30,"John Crockett",NA,1899-12-31 13:43:00,1899-12-31 14:42:00,"beaver","chewed stick","N",1899-12-31 14:14:00,"11","forested swamp",3,1,"recent rain","N","Foot",8337,-71.7600238323,41.4496805426,35.71,"2021-07-30T18:13:53Z"
"50",2021-07-30 14:16:00,"Pawcatuck",384,2021-07-30,"John Crockett",NA,1899-12-31 13:43:00,1899-12-31 14:42:00,"beaver","lodge","N",1899-12-31 14:16:00,"12","forested swamp",3,1,"recent rain","N","Foot",8341,-71.7599478923,41.4496354479,31.86,"2021-07-30T18:15:52Z"
"51",2021-07-30 14:23:00,"Pawcatuck",384,2021-07-30,"John Crockett",NA,1899-12-31 13:43:00,1899-12-31 14:42:00,"beaver","chewed tree","N",1899-12-31 14:23:00,"13","forested swamp",3,1,"recent rain","N","Foot",8361,-71.7602381576,41.4494802989,30.9,"2021-07-30T18:22:42Z"
"52",2021-07-30 14:33:00,"Pawcatuck",384,2021-07-30,"John Crockett",NA,1899-12-31 13:43:00,1899-12-31 14:42:00,"musk?","scat","N",1899-12-31 14:33:00,"14","forested swamp",3,1,"recent rain","N","Foot",8390,-71.7609609291,41.4501629211,28.98,"2021-07-30T18:32:48Z"
"53",2021-07-30 14:39:00,"Pawcatuck",384,2021-07-30,"John Crockett",NA,1899-12-31 13:43:00,1899-12-31 14:42:00,"beaver","stump","N",1899-12-31 14:39:00,"15","forested swamp",3,1,"recent rain","N","Foot",8407,-71.7609751783,41.4500584826,38.11,"2021-07-30T18:38:32Z"
"54",NA,"Pawcatuck",43,2021-07-16,"Amy Mayer",NA,1899-12-31 09:33:00,1899-12-31 09:50:00,NA,NA,NA,NA,NA,NA,2,1,NA,"N","Kayak",NA,NA,NA,NA,NA
"55",NA,"Pawcatuck",42,2021-07-16,"Amy Mayer",NA,1899-12-31 10:22:00,1899-12-31 10:48:00,NA,NA,NA,NA,NA,NA,2,1,NA,"N","Kayak",NA,NA,NA,NA,NA
"56",NA,"Pawcatuck",45,2021-07-16,"Amy Mayer",NA,1899-12-31 11:22:00,1899-12-31 11:42:00,NA,NA,NA,NA,NA,NA,2,1,NA,"N","Kayak",NA,NA,NA,NA,NA
"57",NA,"Pawcatuck",1721,2021-07-16,"Amy Mayer",NA,1899-12-31 08:43:00,1899-12-31 09:08:00,NA,NA,NA,NA,NA,NA,2,1,NA,"N","Kayak",NA,NA,NA,NA,NA
"58",NA,"Block Island Sound",792,2021-08-20,"Kylie Rezendes",NA,1899-12-31 09:53:00,1899-12-31 11:03:00,NA,NA,NA,NA,NA,NA,2,1,"high tide","N","Kayak",NA,NA,NA,NA,NA
"59",NA,"Block Island Sound",799,2021-08-20,"Kylie Rezendes",NA,1899-12-31 11:32:00,1899-12-31 12:09:00,NA,NA,NA,NA,NA,NA,2,1,"high tide","N","Kayak",NA,NA,NA,NA,NA
"60",2021-06-04 08:00:00,"Block Island Sound",353,2021-06-04,"Amy Mayer","muskrat, otter",1899-12-31 07:58:00,1899-12-31 09:02:00,"muskrat","chewed veg","Y",1899-12-31 08:00:00,"1","pond edge",2,2,NA,"N","Kayak",14892,-71.6653635632,41.4030914102,16.96,"2021-06-04T11:59:35Z"
"61",2021-06-04 08:10:00,"Block Island Sound",353,2021-06-04,"Amy Mayer","muskrat, otter",1899-12-31 07:58:00,1899-12-31 09:02:00,"muskrat","chewed veg","N",1899-12-31 08:10:00,"2","pond edge",2,2,NA,"N","Kayak",14917,-71.6653374117,41.4028428867,17.44,"2021-06-04T12:09:54Z"
"62",2021-06-04 08:32:00,"Block Island Sound",353,2021-06-04,"Amy Mayer","muskrat, otter",1899-12-31 07:58:00,1899-12-31 09:02:00,"muskrat","chewed veg","N",1899-12-31 08:32:00,"3","pond edge",2,2,NA,"N","Kayak",14965,-71.6651799157,41.4019052871,22.73,"2021-06-04T12:31:43Z"
"63",2021-06-04 08:55:00,"Block Island Sound",353,2021-06-04,"Amy Mayer","muskrat, otter",1899-12-31 07:58:00,1899-12-31 09:02:00,"muskrat","scat","N",1899-12-31 08:55:00,"4","pond edge",2,2,NA,"N","Kayak",15019,-71.6655099951,41.4008390252,19.36,"2021-06-04T12:54:30Z"
"64",2021-06-04 09:33:00,"Block Island Sound",358,2021-06-04,"Amy Mayer","muskrat, otter",1899-12-31 09:10:00,1899-12-31 09:52:00,"otter?","scat","N",1899-12-31 09:33:00,"5","cedar swamp",2,2,NA,"N","Kayak",15115,-71.6700550821,41.4004522841,18.88,"2021-06-04T13:32:42Z"
"65",2021-06-07 09:01:00,"Pawcatuck",320,2021-06-07,"John Crockett","beaver, otter",1899-12-31 08:57:00,1899-12-31 09:55:00,"otter","latrine","Y",1899-12-31 09:01:00,"1,2","forest/river",3,2,"no recent precip","N","Kayak",15310,-71.7717408948,41.4013330545,12.63,"2021-06-07T13:00:35Z"
"66",2021-06-07 09:18:00,"Pawcatuck",320,2021-06-07,"John Crockett","beaver, otter",1899-12-31 08:57:00,1899-12-31 09:55:00,"otter","chewed shell","N",1899-12-31 09:18:00,"3","forest/river",3,2,"no recent precip","N","Kayak",15356,-71.772294268,41.4010416996,12.63,"2021-06-07T13:17:38Z"
"67",2021-06-07 09:39:00,"Pawcatuck",320,2021-06-07,"John Crockett","beaver, otter",1899-12-31 08:57:00,1899-12-31 09:55:00,"muskrat","scat","N",1899-12-31 09:39:00,"4","forest/river",3,2,"no recent precip","N","Kayak",15416,-71.7722816113,41.4007594809,10.23,"2021-06-07T13:38:51Z"
"68",2021-06-07 09:45:00,"Pawcatuck",320,2021-06-07,"John Crockett","beaver, otter",1899-12-31 08:57:00,1899-12-31 09:55:00,"otter","latrine","Y",1899-12-31 09:45:00,"5","forest/river",3,2,"no recent precip","N","Kayak",15430,-71.7719342653,41.4010051545,15.04,"2021-06-07T13:44:50Z"
"69",2021-06-07 09:46:00,"Pawcatuck",320,2021-06-07,"John Crockett","beaver, otter",1899-12-31 08:57:00,1899-12-31 09:55:00,"beaver","chewed stick","N",1899-12-31 09:46:00,"6","forest/river",3,2,"no recent precip","N","Kayak",15432,-71.7718457524,41.4010767359,15.04,"2021-06-07T13:45:35Z"
"70",2021-06-07 11:31:00,"Pawcatuck",256,2021-06-07,"John Crockett","beaver, muskrat",1899-12-31 11:29:00,1899-12-31 12:30:00,"musk?","chewed veg","Y",1899-12-31 11:31:00,"1","shrub swamp",3,2,"no recent precip","N","Kayak",15531,-71.7758769449,41.3803648017,14.08,"2021-06-07T15:30:31Z"
"71",2021-06-07 11:46:00,"Pawcatuck",256,2021-06-07,"John Crockett","beaver, muskrat",1899-12-31 11:29:00,1899-12-31 12:30:00,"musk?","chewed veg","Y",1899-12-31 11:46:00,"2","shrub swamp",3,2,"no recent precip","N","Kayak",15575,-71.7767728865,41.3800698426,12.15,"2021-06-07T15:45:54Z"
"72",2021-06-07 11:53:00,"Pawcatuck",256,2021-06-07,"John Crockett","beaver, muskrat",1899-12-31 11:29:00,1899-12-31 12:30:00,"muskrat","scat","N",1899-12-31 11:53:00,"3","shrub swamp",3,2,"no recent precip","N","Kayak",15594,-71.7768873833,41.3799151964,12.63,"2021-06-07T15:52:43Z"
"73",2021-06-07 11:54:00,"Pawcatuck",256,2021-06-07,"John Crockett","beaver, muskrat",1899-12-31 11:29:00,1899-12-31 12:30:00,"beaver","chewed stick","N",1899-12-31 11:54:00,"4","shrub swamp",3,2,"no recent precip","N","Kayak",15599,-71.7768224236,41.3801030349,12.15,"2021-06-07T15:53:46Z"
"74",2021-06-07 11:56:00,"Pawcatuck",256,2021-06-07,"John Crockett","beaver, muskrat",1899-12-31 11:29:00,1899-12-31 12:30:00,"beaver","castor mound","Y",1899-12-31 11:56:00,"5","shrub swamp",3,2,"no recent precip","N","Kayak",15604,-71.7768544424,41.3801621273,11.19,"2021-06-07T15:55:30Z"
"75",2021-06-07 11:58:00,"Pawcatuck",256,2021-06-07,"John Crockett","beaver, muskrat",1899-12-31 11:29:00,1899-12-31 12:30:00,"muskrat","scat","Y",1899-12-31 11:58:00,"6","shrub swamp",3,2,"no recent precip","N","Kayak",15609,-71.7769114394,41.3802404143,12.63,"2021-06-07T15:57:37Z"
"76",2021-06-07 12:04:00,"Pawcatuck",256,2021-06-07,"John Crockett","beaver, muskrat",1899-12-31 11:29:00,1899-12-31 12:30:00,"beaver","chewed stick","N",1899-12-31 12:04:00,"7","shrub swamp",3,2,"no recent precip","N","Kayak",15626,-71.7772976775,41.3804274984,12.15,"2021-06-07T16:03:47Z"
"77",2021-06-08 08:51:00,"Quinebaug",10122,2021-06-08,"Kylie Rezendes",NA,1899-12-31 08:43:00,1899-12-31 09:42:00,"muskrat","scat","N",1899-12-31 08:51:00,"1","pond/forest edge",3,2,NA,"N","Foot",16138,-71.758250976,41.932575563,195.28,"2021-06-08T12:50:42Z"
"78",2021-06-08 08:59:00,"Quinebaug",10122,2021-06-08,"Kylie Rezendes",NA,1899-12-31 08:43:00,1899-12-31 09:42:00,"beaver","chewed stick","N",1899-12-31 08:59:00,"2","pond/forest edge",3,2,NA,"N","Foot",16161,-71.7585629504,41.9328825921,192.4,"2021-06-08T12:58:36Z"
"79",2021-06-08 09:05:00,"Quinebaug",10122,2021-06-08,"Kylie Rezendes",NA,1899-12-31 08:43:00,1899-12-31 09:42:00,"beaver","chewed stick","N",1899-12-31 09:05:00,"3","pond/forest edge",3,2,NA,"N","Foot",16182,-71.7590537108,41.9330161158,197.21,"2021-06-08T13:04:44Z"
"80",2021-06-08 09:41:00,"Quinebaug",10122,2021-06-08,"Kylie Rezendes",NA,1899-12-31 08:43:00,1899-12-31 09:42:00,"beaver","chewed stick","N",1899-12-31 09:41:00,"4","pond/forest edge",3,2,NA,"N","Foot",16295,-71.7617746443,41.9333136734,203.46,"2021-06-08T13:40:30Z"
"81",2021-06-08 10:24:00,"Quinebaug",9630,2021-06-08,"Kylie Rezendes",NA,1899-12-31 10:21:00,1899-12-31 11:52:00,"beaver","chewed tree","N",1899-12-31 10:24:00,"1","shrub swamp",3,2,NA,"N","Foot",16636,-71.7740352731,41.9391021319,197.69,"2021-06-08T14:23:36Z"
"82",2021-06-09 10:26:00,"Quinebaug",9631,2021-06-09,"Kylie Rezendes",NA,1899-12-31 10:21:00,1899-12-31 11:52:00,"beaver","chewed stick","Y",1899-12-31 10:26:00,"2","shrub swamp",3,2,NA,"N","Foot",NA,NA,NA,NA,NA
"83",2021-06-10 10:27:00,"Quinebaug",9632,2021-06-10,"Kylie Rezendes",NA,1899-12-31 10:21:00,1899-12-31 11:52:00,"beaver","castor mound","Y",1899-12-31 10:27:00,"3","shrub swamp",3,2,NA,"N","Foot",NA,NA,NA,NA,NA
"84",2021-06-11 10:37:00,"Quinebaug",9633,2021-06-11,"Kylie Rezendes",NA,1899-12-31 10:21:00,1899-12-31 11:52:00,"beaver","chewed tree","N",1899-12-31 10:37:00,"4","shrub swamp",3,2,NA,"N","Foot",NA,NA,NA,NA,NA
"85",2021-06-12 10:48:00,"Quinebaug",9634,2021-06-12,"Kylie Rezendes",NA,1899-12-31 10:21:00,1899-12-31 11:52:00,"beaver","chewed stick","Y",1899-12-31 10:48:00,"5","shrub swamp",3,2,NA,"N","Foot",NA,NA,NA,NA,NA
"86",2021-06-13 10:56:00,"Quinebaug",9635,2021-06-13,"Kylie Rezendes",NA,1899-12-31 10:21:00,1899-12-31 11:52:00,"otter","scat","N",1899-12-31 10:56:00,"6","shrub swamp",3,2,NA,"N","Foot",NA,NA,NA,NA,NA
